# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 27 16:07:41 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 250000 -save_state checkpoint.state HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
250000	-158214.8629601493	-17117.014550254764	-141097.84840989453	2317.6938239860033	-305.6938239860033	8003.360246406923	534.8556304141274	3.0835683980991457	0.3248405050790719	0.2549074824449158	0.17472940099212664	0.24552261148388535	0.36042656381272453	0.011214328160420816	0.03861847960396901	0.0036412421738635566	3.762792531844552	-0.0025072449730331034	-141097.84840989453	-11269.5350994549	-5605.273055493277
275000	-157651.82555349142	-17112.049526667004	-140539.7760268244	2326.5163637192327	-314.5163637192327	8106.506860045941	529.4783542689668	3.096075305646858	0.3293149997373192	0.25181487958012705	0.17600797638065785	0.24286214430189565	0.37275452751891686	0.011074911669727598	0.03862473796887004	0.003496987192522894	3.7888712412767322	-0.0038687535000875577	-140539.7760268244	-11269.5350994549	-5600.349066225526
300000	-157131.43737559393	-17111.672656396506	-140019.7647191974	2341.0199705664663	-329.0199705664663	8165.548189041528	555.8630172871518	3.127870691838686	0.3298920365283304	0.2536260866005534	0.1718149219959162	0.24466695487519968	0.3762603283498299	0.011313176506941384	0.04098516322393233	0.0035003160228786194	3.8961554592485093	-0.005940905844617419	-140019.7647191974	-11269.5350994549	-5599.827682080316
325000	-156555.28109022594	-17098.675154046457	-139456.6059361795	2306.903428850468	-294.9034288504681	8056.219881810716	539.0024622802669	3.1375916991183135	0.33352478356995413	0.251188631329428	0.17354048166281166	0.24174610343780586	0.36519694193439883	0.01159654389017165	0.04195967958202272	0.003582915498182821	3.872243493149486	-0.006183215530937366	-139456.6059361795	-11269.5350994549	-5586.706938720483
350000	-155319.40973226706	-17102.106113660695	-138217.30361860635	2293.6122260814313	-281.61222608143134	8138.405373788168	513.6788261700483	3.04827371168587	0.33074995339020524	0.24663970950611427	0.1750308372213838	0.24757949988229613	0.36148403565913606	0.011071742550499135	0.0412551492482548	0.0033521438208483282	4.024199854540408	-0.004326266187714335	-138217.30361860635	-11269.5350994549	-5590.4386834791485
375000	-154539.95584182919	-17103.288611009713	-137436.66723081947	2298.5477181559854	-286.5477181559854	8093.688764293669	526.999802163402	3.1293900516969417	0.3332752937257152	0.250904706352516	0.17231072192655372	0.24350927799521438	0.3572904860005826	0.010768782320900719	0.038299256039393714	0.003425102424719294	3.8664071318419766	-0.002788523842457933	-137436.66723081947	-11269.5350994549	-5591.7650898305865
400000	-154036.05836381452	-17113.124520444293	-136922.93384337024	2299.733484336378	-287.73348433637784	8185.1169255621735	556.2653184853904	3.086861646901468	0.33050581139095275	0.2479382913528657	0.17163495465475412	0.24992094260142686	0.37050214254975256	0.010788778460987806	0.03879852107701941	0.00336240528548187	3.962575854928186	0.0035824687668040613	-136922.93384337024	-11269.5350994549	-5601.577582664847
425000	-153474.59903535293	-17110.085915162577	-136364.51312019036	2301.3720797466885	-289.37207974668854	8113.863378337832	549.2677045323068	3.073869997684207	0.3272546776815321	0.24746944469922424	0.1768017568621656	0.24847412075707753	0.3581620052125094	0.011065464053156381	0.03995782443613216	0.003398930392510998	3.94756846313479	-0.0030049713225426375	-136364.51312019036	-11269.5350994549	-5598.423198973736
450000	-152781.29753946312	-17112.210053488576	-135669.08748597454	2295.3525138766286	-283.35251387662856	8107.172519772983	558.0203102249026	3.086028355947845	0.33037128912891633	0.2543327403234196	0.17270599097308803	0.24258997957457534	0.37790153591283915	0.011189157320144602	0.04211978691762363	0.0033778657272401235	4.0806285760153065	-0.0013693312911769106	-135669.08748597454	-11269.5350994549	-5600.43484002719
475000	-152469.3216030104	-17099.507677449248	-135369.81392556115	2294.8788883454827	-282.87888834548266	8053.717688312495	533.486936754739	3.093150649168706	0.3342023438318003	0.2548415259478023	0.17018645162935567	0.24076967859104123	0.3610277153151142	0.01104286611236558	0.04040762720931503	0.0033567324491980107	3.962894963965167	0.001103558674811963	-135369.81392556115	-11269.5350994549	-5587.842565387575
