# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Apr 26 23:12:34 CEST 2020 [seed=1587935552865]
# -save_every 100000 -save_state checkpoint.state -beagle_gpu -overwrite HBV-E_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	location.branchRates	location.treeLikelihood
220000	-51.83010197710472	-6.784526813745767	-45.04557516335895	6.404551013373822E-4	6.404551013373816E-4	0.7322510117795721	2.483294553052184	0.7840491500921488	1.780274826962061	0.3352972863339167	3.3441325480729835	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-45.04557516335895
230000	-56.1097610916804	-9.609201039058417	-46.50056005262198	9.188592287302681E-4	9.188592287302681E-4	1.6589541802761785	1.735161396725608	2.167170452015228	0.8935963203173783	2.9516941999936672	0.8201110333393397	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-46.50056005262198
240000	-54.51760788287009	-5.857237389089579	-48.66037049378051	6.081833915064553E-4	6.081833915064552E-4	1.932632042417578	2.270563009233688	0.7138050998463653	0.7285636897596284	3.018449550300758	1.0596370941098274	0.0	1.0	1.0	1.0	0.0	1.0	4.0	0.0	-48.66037049378051
250000	-58.40394240125156	-17.062077866629046	-41.341864534622516	8.578239265001333E-4	8.578239265001344E-4	1.4131682810249215	5.865577097669079	3.2106232858728503	3.4437915493580618	0.8684924290762114	0.21819951879032629	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-41.341864534622516
260000	-55.72576466341304	-12.578937063640582	-43.14682759977246	0.0010238133886301827	0.0010238133886301833	0.49190304789671374	1.803563915707575	1.081487331414345	1.76658483030942	0.43873277914750564	1.3715747648688923	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-43.14682759977246
270000	-45.714928092078885	-4.861135650081517	-40.85379244199737	6.706453934995854E-4	6.706453934995863E-4	0.4016031538146583	3.7650459681541393	0.01858374554240777	0.48893150500695753	0.054313983623606475	0.29944403370218486	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-40.85379244199737
280000	-46.724923483777275	-4.898882475090954	-41.82604100868632	7.61476909211463E-4	7.614769092114616E-4	1.2718013377484998	3.315785403047135	0.6978514875804293	0.8260958628955796	0.40163339299005685	1.4958847444338568	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-41.82604100868632
290000	-43.53299552893518	1.2933665976584354	-44.826362126593615	4.448718518961071E-4	4.448718518961076E-4	0.4127243583386552	1.787336179687313	0.13695438553801104	0.33401399191351866	0.2799734312520198	0.48067550090827926	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-44.826362126593615
300000	-48.41750936210477	-6.723231338775186	-41.69427802332958	0.0012648563656380114	0.0012648563656380099	0.41104481763770107	1.6475730359937237	0.7992616016525813	1.2251081830019586	1.569089386971164	1.4248850810740543	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-41.69427802332958
310000	-49.998633315621205	-6.528949515454178	-43.469683800167026	7.369029175360335E-4	7.369029175360328E-4	0.9980834341997655	1.414275634171455	0.7669520668180925	0.6039295737259943	2.3191125962145036	0.21785267765020003	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-43.469683800167026
320000	-47.62948304116535	-6.532833817373003	-41.09664922379235	9.984831705263089E-4	9.984831705263087E-4	0.469735247259284	2.5251400002924105	0.1327428844725764	0.18596748336618774	3.191846048518406	1.300966971404897	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-41.09664922379235
330000	-48.475272438440335	-4.654019959628401	-43.821252478811935	0.0010208588129660624	0.0010208588129660622	0.22303153815768761	1.0176896239144406	0.02492944269965058	0.16799117506123593	2.030385733103962	0.26089037204444093	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-43.821252478811935
340000	-49.488957391400156	-9.521626252436311	-39.96733113896384	7.060437016098222E-4	7.060437016098222E-4	2.213954179462901	4.348244848598239	0.10017215804676882	1.6044566428420248	0.3946330902828267	3.156822236638002	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-39.96733113896384
350000	-46.16815325009035	-5.560957095564635	-40.60719615452572	9.456615640668556E-4	9.456615640668548E-4	0.46427937871649305	1.1407780005090145	0.3463336805437162	2.0501494231424147	2.948620648466307	0.0816830519137146	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-40.60719615452572
360000	-50.16002673998188	-6.618390835236978	-43.5416359047449	6.036845397370295E-4	6.036845397370293E-4	0.7066910005898591	1.3329395765251506	1.5077630973419454	1.444562246416817	1.0051244406137985	2.3128967570625734	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-43.5416359047449
370000	-42.722259396145105	-3.5685121255321244	-39.15374727061298	5.273299339856115E-4	5.273299339856113E-4	0.5883115783733871	2.8311599290113487	0.19368299978909906	0.5691158769298877	1.7012960936965422	0.9032216436785825	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-39.15374727061298
380000	-42.639581203808795	-1.86106193776702	-40.778519266041776	6.453251305415578E-4	6.453251305415588E-4	0.35057273933537136	2.3571596748667054	0.149141824989557	0.19532527280824616	0.2353895143618508	0.14533266978854076	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-40.778519266041776
390000	-50.675630555257044	-7.937022685206703	-42.73860787005034	0.0010615601021267704	0.0010615601021267704	0.12898084756136474	0.5726900629608982	1.4699392448420636	0.006294822016423687	0.13291640147820946	1.0984545723072383	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-42.73860787005034
