# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Apr 26 23:12:34 CEST 2020 [seed=1587935552865]
# -save_every 100000 -save_state checkpoint.state -beagle_gpu -overwrite HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
100000	0.30443486132610637	2.092392237633699	0.3247307863554484	0.038905409484743254	2.81580075226009	0.030470249073206054	1.0	1.0	0.0	1.0	0.0	1.0	4.0
110000	0.47834010924792897	1.2016949592547246	1.7997271199512688	0.04192596476623863	3.2484534316119023	0.16550739890240096	1.0	1.0	0.0	1.0	1.0	1.0	5.0
120000	0.6751655541084945	2.113463197558921	0.6084138926188803	1.1145882255956023	1.2966972072764265	0.5765844352758044	1.0	1.0	0.0	1.0	0.0	1.0	4.0
130000	0.32012029829949945	0.9841425826649158	0.47965924947724714	0.8961852719575686	0.948056333802703	0.9362305004098509	1.0	1.0	1.0	0.0	1.0	0.0	4.0
140000	0.7249636326861226	4.652811105874571	0.47990712629645366	0.3846704191527308	1.010497184375473	0.7174765981882478	1.0	1.0	1.0	0.0	1.0	0.0	4.0
150000	0.08431609913327731	1.1826136279213801	0.3449396820154271	0.1923946166817288	0.0956624184944554	1.0306018912356134	1.0	1.0	1.0	1.0	1.0	1.0	6.0
160000	3.0092513876003117	2.8978367050866316	1.4285752497015716	1.0235501971736714	0.3869439161942436	0.4462748150475068	1.0	1.0	0.0	1.0	0.0	1.0	4.0
170000	0.22905213569549202	1.1174300216144146	5.699598200172096	0.1559851759822567	0.018812588537270282	1.1365884500371501	1.0	1.0	0.0	1.0	0.0	1.0	4.0
180000	0.20270844863394552	1.5453459726295784	1.3321153802427401	0.6305397534088779	2.221935721843102	1.1542469723588138	1.0	1.0	0.0	1.0	1.0	0.0	4.0
190000	0.18170811881613363	1.6798659589001794	1.1673240557322135	0.33235561285093823	2.218858854550931	0.1930925128942132	1.0	1.0	0.0	1.0	0.0	1.0	4.0
200000	1.1176624095911454	4.710965470607185	1.536908586628841	0.15534128456865423	0.3457972351899833	0.1109228283065711	1.0	1.0	0.0	1.0	1.0	0.0	4.0
210000	0.28792228980684265	4.211011934958788	1.3012942768151026	1.7495520331145438	2.2751863358046385	1.3285774068619107	1.0	1.0	0.0	1.0	1.0	0.0	4.0
220000	0.7322510117795721	2.483294553052184	0.7840491500921488	1.780274826962061	0.3352972863339167	3.3441325480729835	1.0	1.0	1.0	0.0	1.0	0.0	4.0
230000	1.6589541802761785	1.735161396725608	2.167170452015228	0.8935963203173783	2.9516941999936672	0.8201110333393397	1.0	1.0	1.0	1.0	0.0	1.0	5.0
240000	1.932632042417578	2.270563009233688	0.7138050998463653	0.7285636897596284	3.018449550300758	1.0596370941098274	0.0	1.0	1.0	1.0	0.0	1.0	4.0
250000	1.4131682810249215	5.865577097669079	3.2106232858728503	3.4437915493580618	0.8684924290762114	0.21819951879032629	1.0	1.0	1.0	1.0	1.0	1.0	6.0
260000	0.49190304789671374	1.803563915707575	1.081487331414345	1.76658483030942	0.43873277914750564	1.3715747648688923	1.0	1.0	0.0	1.0	0.0	1.0	4.0
270000	0.4016031538146583	3.7650459681541393	0.01858374554240777	0.48893150500695753	0.054313983623606475	0.29944403370218486	1.0	1.0	1.0	1.0	0.0	1.0	5.0
280000	1.2718013377484998	3.315785403047135	0.6978514875804293	0.8260958628955796	0.40163339299005685	1.4958847444338568	1.0	1.0	0.0	1.0	0.0	1.0	4.0
290000	0.4127243583386552	1.787336179687313	0.13695438553801104	0.33401399191351866	0.2799734312520198	0.48067550090827926	1.0	1.0	0.0	1.0	0.0	1.0	4.0
300000	0.41104481763770107	1.6475730359937237	0.7992616016525813	1.2251081830019586	1.569089386971164	1.4248850810740543	1.0	1.0	1.0	0.0	1.0	0.0	4.0
310000	0.9980834341997655	1.414275634171455	0.7669520668180925	0.6039295737259943	2.3191125962145036	0.21785267765020003	1.0	1.0	1.0	0.0	1.0	0.0	4.0
320000	0.469735247259284	2.5251400002924105	0.1327428844725764	0.18596748336618774	3.191846048518406	1.300966971404897	1.0	1.0	0.0	1.0	0.0	1.0	4.0
330000	0.22303153815768761	1.0176896239144406	0.02492944269965058	0.16799117506123593	2.030385733103962	0.26089037204444093	1.0	1.0	1.0	1.0	1.0	1.0	6.0
340000	2.213954179462901	4.348244848598239	0.10017215804676882	1.6044566428420248	0.3946330902828267	3.156822236638002	1.0	1.0	0.0	1.0	0.0	1.0	4.0
350000	0.46427937871649305	1.1407780005090145	0.3463336805437162	2.0501494231424147	2.948620648466307	0.0816830519137146	1.0	1.0	0.0	1.0	0.0	1.0	4.0
360000	0.7066910005898591	1.3329395765251506	1.5077630973419454	1.444562246416817	1.0051244406137985	2.3128967570625734	1.0	1.0	0.0	1.0	1.0	1.0	5.0
370000	0.5883115783733871	2.8311599290113487	0.19368299978909906	0.5691158769298877	1.7012960936965422	0.9032216436785825	1.0	1.0	1.0	0.0	1.0	0.0	4.0
380000	0.35057273933537136	2.3571596748667054	0.149141824989557	0.19532527280824616	0.2353895143618508	0.14533266978854076	1.0	1.0	0.0	1.0	1.0	1.0	5.0
390000	0.12898084756136474	0.5726900629608982	1.4699392448420636	0.006294822016423687	0.13291640147820946	1.0984545723072383	1.0	1.0	1.0	0.0	1.0	1.0	5.0
400000	0.9994049160073084	1.514716594196791	0.14741089609022173	1.803455711015729	0.3364238284268855	0.16183550502008043	1.0	1.0	1.0	1.0	0.0	1.0	5.0
