# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Jan 24 13:02:23 CET 2020 [seed=1579867324411]
# -beagle_gpu -overwrite HBV-A_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates	location.branchRates	location.treeLikelihood
130000	-287.2412339861232	-33.505162814366294	-253.73607117175686	0.0016539139232436897	0.0016539139232436867	0.7472644292014218	1.4653478967109563	0.8295367037243486	0.28158472067444507	0.8447358071500575	3.52239838309623	0.7638671824640189	2.3232959341358015	0.7842499752716058	0.3155918745357345	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	8.0	0.0	-253.73607117175686
140000	-284.7076187866884	-39.52355406381407	-245.1840647228743	0.002038829955946767	0.002038829955946768	0.39699576365703376	1.9824633117562542	0.8831359901114597	1.4704411346274884	0.3967998255280601	2.562757137324526	0.4023566979946815	1.5816671640171829	0.9088126166294548	0.46627981511361927	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-245.1840647228743
150000	-311.50124771332105	-69.31007566668463	-242.19117204663644	0.0025871811460871407	0.0025871811460871437	0.704402609071934	0.4161645780543666	1.2057088186396985	0.032901943372784785	0.7587227413825869	3.289044017262951	0.15097811801624794	2.8785433566048217	0.9197509915732929	0.2808896964582813	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	8.0	0.0	-242.19117204663644
160000	-285.535315516619	-36.260905589854566	-249.27440992676443	0.0018741155635911254	0.001874115563591126	0.3203922364444772	0.5682881972352121	1.075948071475305	0.4523972311569085	0.6742441801434168	1.2221497458352257	0.29520841541946924	1.8045265287109373	1.9713393922334677	0.40406403876259017	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-249.27440992676443
170000	-297.57584026714534	-28.945560485170628	-268.6302797819747	0.0018266587716318612	0.001826658771631867	0.14215797885421064	1.6107330423060355	0.4012381037917545	1.1249132296274933	0.6009481997716847	0.9788334711991505	0.17744260518963748	0.6411135930590844	0.347502345904265	0.04203991238379839	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0	0.0	-268.6302797819747
180000	-284.9901936058068	-47.399355923366365	-237.5908376824404	0.0025802301946895355	0.0025802301946895425	0.38938219416999853	0.013775601847307719	1.8785122317597531	0.7855923363631341	1.4643570091146623	2.0010473274948803	0.9749832492179119	1.8553389204725395	0.41370074176488575	0.29359505817654563	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-237.5908376824404
190000	-295.3839660707496	-39.445523095996606	-255.93844297475297	0.002596944308397905	0.002596944308397903	0.6745529231549977	0.9491602097296733	0.3446730062635014	4.583162174583344	0.5823063943914095	1.9860420511936	0.6695384537295904	1.0135241404572808	0.1673507617429829	0.6968964184789096	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-255.93844297475297
200000	-295.6953425265314	-31.96205876593585	-263.73328376059555	0.0015549780231836868	0.0015549780231836896	0.41888030663912346	2.6951907086543723	1.3721379423588458	0.03278721271252625	0.6105850873797277	2.7191521867908777	1.0072013169008618	2.1107694565923913	1.205525104615538	0.24870091422867177	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-263.73328376059555
210000	-293.3718026457536	-51.01743454522776	-242.35436810052582	0.002123451413116754	0.0021234514131167497	0.4615086819849396	0.46428901839674913	1.5056855358014058	0.764662210541891	0.5649861937593436	2.7197564101817315	0.29621664040637197	2.476691009567095	0.11060835329370142	0.004650632586848376	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0	0.0	-242.35436810052582
220000	-283.7510949635546	-26.898247250840228	-256.8528477127144	0.0015223034297219568	0.0015223034297219566	0.46814197860467616	0.6964189371224618	0.48474053553974467	0.15345395366830528	0.5050224587716199	1.027819991362342	4.24637214268166	1.1500256122087118	1.1389834026620216	0.18511675359385069	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-256.8528477127144
230000	-273.3127942530161	-42.50252497427203	-230.81026927874404	0.0018796493464124805	0.001879649346412481	0.3695529006734803	2.003391249940119	1.5747274291476867	4.553781274780797	0.8111010227847276	2.2924535497683274	1.1479764682820923	2.111928428337224	1.7163795388396903	0.7639416379685067	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-230.81026927874404
240000	-282.4894683919073	-37.14266850848054	-245.34679988342674	0.00202266004908834	0.0020226600490883388	0.45730984671293273	0.035749234765229586	0.8168337379267548	0.14587704223757147	0.8804814629766977	2.489868106282146	0.11540835141810535	1.5874924128571153	4.661808710427669	0.2554114884001951	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-245.34679988342674
250000	-297.81860954302033	-50.75249171082853	-247.0661178321918	0.00205460549755565	0.0020546054975556518	1.163407586012124	0.5284334079713394	0.9301491138585365	0.8015753892653089	0.8000493249440884	2.8811039674044383	0.195071243693497	3.141943617978017	0.30293060422571794	0.2157077629565663	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-247.0661178321918
