# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:45:31 CET 2020 [seed=1582721128794]
# -beagle_gpu -save_every 200000 HBV-D_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
200000	0.34534360877233683	0.2606416490787513	0.44232604766884326	2.4268124429554803	2.1946823912935187	1.0554404179026298	0.8263403900822669	1.0009011432153825	0.01283906884381465	1.34862225931162	3.711515605183379	2.043468913251882	0.35515119114962695	1.5360141795269262	0.12170392261155558	2.4579351777341794	1.0973014821286462	0.9911310130098205	3.6302695276929033	2.934070001021631	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
210000	0.23454507720305964	0.5830269060087271	0.169343585935418	2.6420564453717676	0.14157072633393036	0.9545200420394443	0.6675603816446585	0.20153469618613584	0.39694588242231077	0.6678119532073379	0.642498237822687	0.6253187789124978	0.8522523799562628	0.6323324931918493	0.07865247290672071	1.045262937863349	0.06941899787651436	2.6648601893335884	1.4884458698498086	1.4660187818296626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
220000	1.0294445463372528	3.477345574201567	0.2922902295295917	2.2410258175165114	0.19463494629349679	0.18477894747797136	0.45886740702555084	0.5829411845914119	0.04860047174377063	1.0262602576818909	0.5026997151474569	1.9352949063350524	0.2780619463835491	1.803951642740523	0.461657051103516	1.7717398761914787	1.5003683362741136	1.4258603489431234	2.3797847120869795	2.5660426652887702	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
230000	0.48079455554520384	0.8206766008349587	0.6019741614408809	1.4659304686150234	0.34687248082457234	0.28555090570079733	0.2728545942585506	0.13015500857448323	0.5602354867170141	2.486418699282997	2.853297068012058	1.1158993502776486	2.023923049160581	0.6981844696286097	0.2796217885375881	1.2392914252824023	1.8400742758287536	1.7667845103875912	1.9139753562646715	1.537487771670749	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
240000	2.411183450831196	0.4147789290384095	0.6886599655088413	2.1789772805747374	0.39452064483383936	2.18143819280419	0.23176264350323306	1.105527946312194	0.3255959641942155	0.8664365431046424	0.18892717626707053	0.26640129209485963	0.21205903309222038	0.6246869230401311	0.17991921245098427	1.162124670868836	0.3793135807007683	1.5350728443272952	1.749752480726914	1.3422654684061233	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0
250000	0.05019454793927097	0.0821244544323442	0.351902526583491	0.8722623551313953	0.5593704630497158	0.303916991975261	0.40854183826123763	0.25391522808935013	0.769200113809496	0.914324600874655	0.07755263257950118	1.9886934562633896	1.666013820179892	0.8646546272369613	4.394161999961141	0.897734122187944	0.2530156208281108	1.4158300673583735	1.0836238682123385	1.2000179803876532	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0
260000	2.184580856126049	1.0667027454517253	0.3449052008869796	0.03614169278054388	0.2623327967604684	0.23968982612320797	0.14483096458488454	0.9295550158063545	0.8127749316960944	0.7073938028716429	0.46867201545656284	0.535243905878747	0.5619498651964052	0.3509084405862667	2.2365254116981386	1.3772804419950027	0.5261742486291316	1.493760429805317	1.2125676560851015	1.6970743596269962	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
270000	0.07357092838110318	0.3216854912947003	0.6799336946490648	0.6158982009989388	0.43192561962394416	1.4507180378243312	6.213598826816924	0.618296249899225	0.49195804153278705	0.9425151582447927	0.5050565260224116	0.8468843623437281	0.5030265300469478	1.6959068999111928	1.9600347054281089	2.7016671650168904	0.964273898998396	2.402591524194998	1.3684004074830327	2.125152511192295	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
280000	0.07916206431138852	0.8095155819773602	0.7276313149465575	0.40780365112805184	0.7443121525048217	0.4778940468512506	0.8819089685511584	0.8241596147354721	1.0567804019950853	1.266393186806005	0.1019726072043046	0.11741209142665987	0.07973244839965912	0.5156988890692851	0.36148644475405867	2.091760227650337	0.5055712406626175	1.766147404580926	2.4616454053211108	1.935222468067698	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
290000	0.3581689514628548	1.1914335222600596	0.2805135252672838	0.018900087465023568	0.35707849553120175	0.4895811934640978	0.025236628682688594	0.5551778279347812	3.0068345351434402	0.6831909069471855	0.504989366187866	0.4634571998728508	1.1287102174163262	0.4850582765159236	0.37232575378962385	2.2648439924336783	0.7486628947609788	1.6252395116529987	1.9432098629832166	2.1866434969680117	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
