# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:41:43 CET 2020 [seed=1582720901793]
# -beagle_gpu -save_every 200000 HBV-A_modern_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	location.treeLikelihood
5100000	-302.3328815243619	-45.31939857800967	-257.0134829463522	0.0015331410044632549	0.0015331410044632557	0.8468391883500307	1.2600124580415917	1.939492881770934	1.6849080254345914	1.0993365614734363	0.9424127521028705	0.09275586955950858	2.235989271840638	3.75882283646934	0.6980597620756129	5.638793418215086	0.2654712400136601	0.34703632945370555	1.2709828874789038	0.9027381410355532	2.5891585125354997	0.38463880461082767	3.01502714799706	0.342127812544	2.7801645133013775	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0	0.0	-257.0134829463522
5110000	-289.55763506033577	-50.056685209141364	-239.5009498511944	0.003756048099479129	0.0037560480994791247	0.34630158549642437	0.15021068981110816	0.7642681236864038	0.04169426272348245	0.7225975056553995	0.8526458508060366	0.07615075473350036	0.11601359338993032	0.12182051049034287	0.27149838867740017	0.93720822732431	0.23791597687247837	1.3960227454692626	0.1795239543749314	1.46363014181677	1.6439498614978045	1.6957722944057305	3.046893540132308	0.7425103462418687	0.8713296609380813	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0	0.0	-239.5009498511944
5120000	-404.70428463835754	-141.07548521341883	-263.6287994249387	0.0018905570937717531	0.001890557093771753	0.31868072236439926	0.5001947478794669	0.654778056670272	0.24261214268102244	0.4727925776035414	1.23389719453489	1.547759789574641	0.17352578516750095	0.007755189067158762	0.9579075652531877	0.3296821109546739	2.4974744423571478	0.46666521780281334	0.8334008892399801	0.45333589623751197	2.824920799794306	0.49575420231302975	2.349204621857122	0.09971433798828906	0.4873693300426538	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0	0.0	-263.6287994249387
5130000	-280.1486371820426	-40.1882761876241	-239.9603609944185	0.0024618071724019893	0.0024618071724019793	0.29367724790812155	0.049413812274699	0.4208833449476973	1.385391210296828	0.4448251215582974	0.9215511737978235	1.0330168014470182	3.586893175644426	0.0212482004228377	1.3023715256872976	1.1781704259424195	1.2462678030279692	0.1477988396524907	0.12225751537487128	0.9581070521083597	2.0580445451063167	0.1808265271888224	1.2358232071752537	0.31905308058437	0.8965021067963541	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	9.0	0.0	-239.9603609944185
5140000	-280.0549599641512	-54.23713006492222	-225.81782989922894	0.002591187718730621	0.002591187718730621	0.49908037753461604	0.14199322943616244	0.5462204482240802	0.2719665389355326	0.7916636288825668	1.4299695861214994	2.107799670129181	1.0692220630066964	1.55829315756748	0.18098267387607042	1.0483052677596523	2.056866692420379	0.31008248581368725	0.08020456977530598	0.483788715244268	1.6573353633559749	0.13467611518675904	2.153338824520169	0.40832548312780625	2.7144040820184454	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0	0.0	-225.81782989922894
5150000	-305.18983930408774	-51.40398479787222	-253.78585450621551	0.0020943750584744877	0.0020943750584744786	1.3418297225574065	0.2971752279614063	1.288628326016322	1.5656778515448884	0.9928738990014246	0.9413414626777722	0.4476880383598843	0.6802921269553326	1.4923130051599471	1.6598166745999319	0.22600455925115326	0.7912408573986913	0.5417368498947576	1.3006170596598705	1.0197021293739676	6.947773128031136	0.4158059034680895	5.4418696033139335	0.33033681809063575	6.8458236644887265	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	7.0	0.0	-253.78585450621551
5160000	-305.92146072010866	-42.04505780155119	-263.87640291855746	0.0020036685900171208	0.002003668590017118	0.19798526178804862	0.030948148010821325	0.6993784580866121	0.7868650421052449	3.2655047406375135	0.9502144719678219	0.23657763224025918	0.47782284034678624	0.16680846157226684	0.2739856228421138	2.2070356541156153	2.41399330997972	0.3376464888080106	0.7023809448925452	1.3870918356636157	1.8933306898924749	0.24093049289152935	3.0414897086938044	0.8267506872184504	0.8304936651096778	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0	0.0	-263.87640291855746
5170000	-299.425111993605	-64.89366303760816	-234.53144895599686	0.0036104789057054038	0.0036104789057054007	0.29330387424669724	2.868386835940179	0.14842348196710894	0.94595339171365	1.0790079207409045	0.5494222583041227	0.7335292741845514	0.8178788560202461	0.44644043974981135	0.03133974364020351	0.8143220474469557	3.6254839936897065	0.27180563319115086	1.2690726775293781	0.37928054915584225	1.7313547770627475	0.04913004285030699	1.2153668593452527	2.374605898855301	0.4583770526663131	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	9.0	0.0	-234.53144895599686
5180000	-296.9641988253235	-49.72176620611246	-247.24243261921103	0.002486520790247346	0.002486520790247346	0.9320246849775041	0.0379786831991652	1.2102112054614875	0.04925877242060155	1.2147596128882285	0.86511378037169	0.4351983166838801	0.2572936555372194	3.1325770512040307	0.2297982036292414	1.7638629489198852	1.030181962566255	0.4634580312706928	0.9986915867022045	0.044534079193785804	2.82272923143762	1.2176267496054916	0.9510552277229636	1.1908704099374514	0.5965329247951682	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0	0.0	-247.24243261921103
5190000	-1068.7511878446644	-832.5861328294394	-236.16505501522494	0.0032795051894500423	0.003279505189450044	1.3573433922132616	1.39446535713383	1.1240104986023085	3.7714340693924777	0.7917641048359005	0.5830306477555676	1.131108222383431	1.8332228179674857	2.5755107066368192	0.2971023019685903	0.3193699290373813	0.7064943245250266	0.520095287084441	0.7605346906624213	0.05163606527964916	3.8537440434678003	1.9957173678065923	3.270452064286731	2.63347389838218	0.21377738079377753	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0	0.0	-236.16505501522494
