# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 06 14:48:28 CET 2020 [seed=101010]
# -beagle_gpu -seed 101010 -save_every 250000 -load_state checkpoint.state -save_state checkpoint.state2 -overwrite HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
250000	-132903.05767683045	-20667.928499644593	-112235.12917718587	3633.599755347929	-1621.5997553479292	232723.74505720322	57657.92171382624	2.8863275151329235	0.3364875632830164	0.2429458659171271	0.17659748655847193	0.2439690842413913	0.33230236896568	1.0335224641098119E-4	1.1146505586829093E-4	8.556244976072408E-5	0.936873383298486	0.005741530686807288	-112235.12917718587	-11269.5350994549	-9175.327916631093
275000	-132918.40928291396	-20624.213343415933	-112294.19593949801	3399.6850363173867	-1387.6850363173867	219752.03581787206	56327.09706794322	2.8330657809158653	0.3301158631391468	0.2464432005283027	0.17845316527238525	0.24498777106017186	0.33978751415968145	1.0909120204595752E-4	1.1549212221464068E-4	9.084693678818934E-5	0.903749937850178	0.03524010729237904	-112294.19593949801	-11269.5350994549	-9131.483195138244
300000	-132887.51075256962	-20605.951474747184	-112281.55927782244	3260.643034619746	-1248.6430346197458	215429.28159644658	51624.90410006115	2.833725490487364	0.32792398939977635	0.2516422863890162	0.1796516544987029	0.24078206971251115	0.33765041212103075	1.1073525885367431E-4	1.1721548779026597E-4	9.256503143782343E-5	0.8925539765666428	0.05751353915932679	-112281.55927782244	-11269.5350994549	-9113.187971892494
325000	-132839.70229968207	-20597.296182632417	-112242.40611704966	3245.794112172394	-1233.7941121723939	214334.59008478656	53121.63197086133	2.9199960086559344	0.3341746634900144	0.240746686558069	0.1792662798788596	0.2458123700730635	0.3297649524205391	1.1288778255462199E-4	1.2289656193824642E-4	9.455531683512693E-5	0.9296336849148313	0.0878216854356967	-112242.40611704966	-11269.5350994549	-9104.469019981185
350000	-132871.36887150403	-20618.8764721482	-112252.49239935583	3171.727362813107	-1159.727362813107	216773.3724730091	53419.75442545254	2.878672210312596	0.3323882019301252	0.2466721030924607	0.17786807208977667	0.24307162288764395	0.32633927130913354	1.0603632199796254E-4	1.0846880485636475E-4	9.078579003877781E-5	0.8882323175860516	0.09585312257957654	-112252.49239935583	-11269.5350994549	-9126.227340067473
375000	-132849.33888841653	-20625.739791651995	-112223.59909676455	3076.3044027714614	-1064.3044027714614	220019.79650509378	54313.155870317474	2.7934062717184025	0.3354165475849297	0.24752321802028374	0.1756710721870518	0.24138916220774123	0.33563451015817447	1.0874324624966386E-4	1.2041082640719152E-4	9.121133738076E-5	0.9456019195725122	0.08041413635129832	-112223.59909676455	-11269.5350994549	-9133.040306877767
400000	-132919.37770726654	-20668.16591283145	-112251.2117944351	3194.5284444828035	-1182.5284444828035	230572.78414181786	57317.877806810335	2.825395403390581	0.3280215913648993	0.25002595737751776	0.1794817235438864	0.24247072771370304	0.3370659544519111	1.0547434785622108E-4	1.1614701140087594E-4	8.660358879929747E-5	0.9454116215825401	0.06404432479176062	-112251.2117944351	-11269.5350994549	-9175.527702390887
425000	-132848.20851462297	-20656.764755790162	-112191.44375883281	3204.2413827046225	-1192.2413827046225	228087.9060290804	55140.584325878524	2.8259804350872684	0.32646320028696757	0.2502629851049783	0.1804139555485291	0.24285985905953159	0.33975430819337565	1.0487369110924455E-4	1.1490324518279741E-4	8.596839493245111E-5	0.9597567601247393	0.07956605140963359	-112191.44375883281	-11269.5350994549	-9164.135064879907
450000	-132820.25998035766	-20642.822680643672	-112177.43729971399	3597.315964401653	-1585.3159644016532	224520.50676499208	57914.55091224784	2.8706821368528326	0.33455468662592147	0.24375467366331965	0.17478670943664065	0.24690393027412463	0.337798921278541	1.0461067193642235E-4	1.1288498416485151E-4	8.694979463726883E-5	0.9632513725197868	0.11626602407377001	-112177.43729971399	-11269.5350994549	-9150.186937902903
475000	-132843.6363896386	-20631.889837606606	-112211.74655203197	3608.1288706733135	-1596.1288706733135	223242.99689194615	56188.87652924871	2.8901628859370456	0.3288156682875198	0.246166559132415	0.17999858057441864	0.24501919200565309	0.344447018716258	1.0855189192703094E-4	1.2091862467115479E-4	8.947414194511863E-5	0.9771308031187089	0.11162812889545222	-112211.74655203197	-11269.5350994549	-9139.142098212473
