# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:07:16 CET 2019 [seed=666]
# -beagle_gpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates
3500000	0.22938626787084526	0.27582644071075685	0.20047376021515353	4.397525125306241	0.16917451423348562	0.9782133931359052	1.1173111449546194	1.1627905511817105	0.37140139343955036	0.0624294235191499	1.9773740382216323	1.1867949781412797	0.3063263698975252	0.45660797728607333	0.8756920466898928	0.17014993989125643	0.638303976410146	0.9670742369747465	0.01277063597050244	2.319108451915907	0.04048982179156478	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	12.0
3750000	0.2514338921003629	2.0229308465223723	0.3634654837517125	0.09924820401396338	0.9991248974552841	0.6466802856594458	1.2912431305340886	1.6075910570627163	0.08211370597255746	0.6602993042425134	1.4961552710989183	1.3909860428880816	0.2231221799796413	1.9611381479515404	0.593023029318936	0.5483266771470012	0.3025701131332644	1.5302251359853543	1.1035903619521668	2.01886572043998	0.02183884383169591	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	10.0
4000000	0.6101543124951572	0.8434548379515427	0.3678307789059863	0.3644282117042802	0.06591267625144072	0.8291636824838804	0.47061419867312887	0.7534858871946736	0.8474458115387079	0.01201401022204509	0.8093195704699059	0.9829970796815415	0.32767043341170343	0.3638285117407395	0.8294768501204005	1.0374642295678096	0.24167857117609626	0.8123802274229078	0.32929010745457665	1.3484011790257069	0.4102723904409506	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	9.0
4250000	1.306449843200351	1.0154668008709555	0.1445952262118097	0.1466997283024325	0.12396467183172236	0.36317511799408797	1.6067691328177105	0.3976751375357025	0.4221080511818903	0.08794357617528753	0.42294788200431094	0.8776492416011701	0.3015975264051332	1.6894124709858047	0.897721616728705	0.4980633981840148	0.3033022807777322	0.6666239242619917	0.3593874150543077	1.3550482221054034	1.582851964711474	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	11.0
4500000	0.5742866511122895	2.0118160435732007	0.1011200321399772	1.6260262300979582	0.32596677676357966	1.2764645776799888	0.2978488049834464	1.575991562726478	2.2964468818684445	0.18675070424689447	1.319961359705593	1.8244866702010574	0.27079047527022276	0.07240636332430447	2.270615025319815	0.8130361323930106	0.33799878801263267	2.3109278619512947	0.3785503744415633	3.9115471940153452	0.5333839887056905	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
4750000	0.27864263750091656	2.9191551589760603	0.8099200338178598	0.183785843822362	4.063594028430072	1.3615520034531317	0.673071364135502	0.9764547708728193	0.22979170950263428	0.175554848505822	0.5873656468359921	1.6057465533613668	1.7335373563717231	0.6816174065728409	2.7711061970492	0.6618917823853444	0.19948899760787095	2.3440167705982997	4.5086941403801815	3.2074069970807932	0.25197446287370295	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
5000000	1.0923013443491891	0.2920334134965048	0.8080649677540542	0.35691813571643494	0.5272793170740564	1.5840816124556316	0.5652656231953251	1.8511669150740908	1.5191246580012685	0.36724563507159463	0.198721614658932	2.3212459261161924	0.8578708265842981	0.37954800593601146	2.410506687737827	0.44399871328084495	0.6631768817777967	1.9327802516954136	0.20111317308791143	3.0780657808200753	0.39609316410155193	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
5250000	0.030289180832971357	0.005229443242542398	0.08989925571503239	1.9639446653603219	1.162348823160612	0.7796815091853089	0.1314169231446675	1.169306463784213	0.441548050710726	0.4126023993169556	0.9065140027627799	1.9793347369761403	1.1224261807861362	0.3913812958323071	1.1189561670649824	1.268927046956415	0.38644603367276503	1.8703224672072827	0.1381726292967498	2.7465447126720717	0.5341173316091032	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
5500000	0.5346371530696292	2.120332343833432	0.23088927847171023	0.3454956915538449	0.4573236168866609	0.3008659547564737	0.12281179889928287	0.7135264577348749	0.3009639830158765	0.1841715053582534	1.0846744209193397	1.1661701654523422	0.35635177032428667	1.9923985223166034	1.238992358554828	0.8146790997869806	0.30347543043297553	1.3673574438896539	0.31259010301485574	2.103497155812621	1.6502310541809924	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	9.0
5750000	3.077895451431548	0.02106278055138461	0.6086361752486643	0.19032263941750058	0.3464551846271063	0.5163540149536089	0.8206176187772081	1.542127229554127	0.1948511470780597	0.15288256480521628	2.0225216251724136	1.668346327411569	0.9889676916842248	0.07397732631770552	2.2324977678722098	0.14110941663565468	0.2573724544029877	1.3918010277461488	0.9404062418244779	1.901828942540487	0.057118154704777456	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0
