# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 22 18:00:56 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state A_ancient_skyride_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
2500000	0.48891274382142347	2.638719709302127	0.7303473772765355	0.8250661033371983	1.1201402908853868	0.6939646413114393	1.437257243466437	1.0249464836991244	0.2327690311610858	0.1563454630610812	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
2750000	1.1972743860249109	1.2990361382841513	1.6232821280490686	0.6722233393273569	1.6266083903689454	1.3196502664032748	0.2017345255040199	1.9494452940646396	0.3250505393965453	0.2188530204631285	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
3000000	0.8028042817124053	0.4209500167059989	1.526964697074166	0.1392365755672674	1.0226016922249341	1.0792923453324823	1.0552682850361808	0.9823023936023733	0.22398034849961596	0.3096299177467553	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
3250000	0.4341442761741509	0.7621966316845818	0.7706461156976788	1.1635735073383653	0.504791853298503	1.0980103403372032	1.2411517704225197	0.6716374960919239	0.5408094851143023	0.0986120522498248	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
3500000	0.21744962937693907	0.7846594179523984	1.0856534880923179	0.6388684587510024	0.8615650083456886	0.7205998098512525	2.868322027634822	0.6207581288787117	0.3820664991123037	0.1764391460498184	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
3750000	0.5110705427761087	0.4196417209845808	0.647610101618561	0.3722486485435789	1.03323849128312	0.888834787985529	1.8349812861659072	1.3159337552935633	0.03544157171889255	0.44756603081939567	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
4000000	0.20367512776990224	0.8816706073286298	0.5525580464646057	1.174156006487911	0.9588436808439567	0.9303161018563119	0.04572528148332297	0.7359386995797168	0.043482837643056084	0.17455029068094527	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
4250000	0.39717983575843174	0.059066785650486266	0.5840192872824738	0.08564079388766863	1.3917917007508276	1.2736707655382438	0.4505770776195116	1.072663914699375	2.3401759420646875	0.0751947107020493	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
4500000	0.6732870011791048	0.09876647806031838	0.8803473546428281	0.4081653290498324	1.4598690151300908	1.3989309186547605	0.09653917150727162	1.311429231330061	1.3636316485697673	0.25562028211212123	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
4750000	0.6705323990991046	2.058373957410996	0.9127003839735267	0.5861667109420904	1.2076601713376	1.2526054708685141	1.4816426200472195	1.6481153551063272	0.05216312513544624	0.24701755096463118	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
