# BEAST v1.10.5 Prerelease #8a10723
# Generated Fri Sep 08 15:09:58 CEST 2023 [seed=1694178586051]
# -beagle_double HBV-A_updated_geo_priors_completeHistory_posterior_run2.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
200000	-237.75200079027462	-24.53831694651423	-213.2136838437604	0.24432504974810307	0.04951176425140156	0.028648260074265044	0.047741003371057175	0.6297739225551741	0.06336996022261385	0.005584766170575143	0.1286327953152806	1.868607535131565	0.6891658607935812	0.9165124321135337	0.39436612828929357	1.4350712909058845	1.1624341940007834	0.9464983597995557	1.3277728021636455	0.2844754071721917	2.5167318776435694	0.8863929543136765	0.5755484451003219	2.236524543513112	4.520734620378627	1.4811187969710713	0.16415993703513634	2.8275162557138946	0.055961978037707104	0.863292302642639	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	12.0	1233.0	69.0
210000	-233.313274683137	-22.17121524594698	-211.14205943719003	0.2726129477924436	0.024568784233409153	0.026001259750852525	0.031627275342846664	0.645189732880449	0.006811773979247244	0.004671969029263814	0.12566437096859237	2.618515504506174	1.0686052521010456	3.073990040766584	0.4048006170997097	0.9429222380624638	0.09336499453365348	0.15837350708009804	0.7573736799214371	0.35213619662887136	1.6665612304140143	0.3778126559523479	1.101958797213629	0.6565472228395444	1.468325592761406	2.507168295113057	1.7351914428559732	2.626945822716506	2.4291312013294255	0.520774505695638	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	1238.0	63.0
220000	-231.12593265088927	-12.313060830049379	-218.8128718208399	0.24070991396466396	0.02055917300660538	0.06677875747592865	0.04261758661509035	0.6293345689377122	0.007400946649480862	0.005915630503580374	0.17624813644315385	0.8845115017958368	0.9375661208480138	1.127028939611585	0.8299851561916064	0.41418344227161125	0.6853676373581326	0.6967988235485405	1.240426618801844	0.9212002980251524	0.09696200209676811	0.1964879669059236	0.13177863559635916	0.9637292026847412	0.6511841151086699	2.4872919798033566	0.0032746832635772495	2.1004010286267887	0.1815873605407931	0.605764296186251	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	13.0	1238.0	71.0
230000	-230.3103882750342	-20.692133229446007	-209.6182550455882	0.22390396441796634	0.017998232743523773	0.046049659868330726	0.07170110194945692	0.6403470410207229	0.00950972170843456	0.00570349882273639	0.5797447636884696	2.29395261269726	0.4662095322611199	1.9907963661260366	1.642466644086192	2.185450809580726	0.2446398438324097	0.031102292075409883	0.149102453872398	0.0935155016915183	0.12183536062460053	1.0575260792177028	0.3835187937432744	2.7117523335283136	4.179047517545258	0.775446781407337	0.42221002091731513	3.596037143123247	0.13958243856050412	0.7317156202588199	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	1238.0	74.0
240000	-219.63604109602585	-10.612041373734472	-209.02399972229136	0.2564133343660322	0.031691349748258234	0.04571671514479169	0.054229286337652165	0.6119493144032664	0.005902599100563451	0.00509639694674926	0.13149107799770124	0.46055499701947844	0.6127738591820853	0.1391670049867839	0.2150581693953603	2.246242802245763	0.175782377739184	0.04843395624164906	0.8983107859785634	0.20405643461653966	0.04338327993330566	0.8063163810624019	0.2633196487322184	0.24206177400133885	3.1653670780272387	0.8575886144336956	0.3193752837179009	2.440090696864815	0.6694594813962671	0.2302524710118936	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	12.0	1238.0	73.0
250000	-238.53430078806662	-21.27310989128182	-217.2611908967848	0.26558211636184875	0.008636796567048265	0.0767732808350758	0.0460060213310363	0.6030017849049916	0.06173761639048427	0.006870917814395512	0.640196717644338	0.7551542543236938	1.3868146620956272	0.06667993222190136	0.6653559960962901	2.187243332629359	0.21540769504165766	1.0584278253957768	0.5113984350785379	0.5886291648301414	0.051039149861306435	0.18312946042695033	1.2914326537501912	1.0039765372505915	2.9142937890193616	1.8376829448878558	0.9237863618195934	3.1166793375200528	0.08186585370204034	0.5489821357204614	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	17.0	532.0	75.0
260000	-225.70173075761642	-12.748004181653606	-212.9537265759628	0.3214431933731961	0.027187293642874824	0.04004347590653092	0.025202871343435684	0.5861231657339631	0.059883770352230366	0.004348870710187311	0.12162290893492361	0.8057587985616157	1.0015468206256906	0.12563133059664117	1.8479510469501002	1.2255878527697404	0.44311854132211015	0.05990116046758024	0.07555680806494042	0.33165852021641157	0.25978078783863945	1.563887948497461	0.5040863476922496	0.3714185864566257	0.1432840295826372	1.4154033991834951	0.005715133192503206	2.210484809167213	0.25513772742135343	0.5634363372382971	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	13.0	479.0	75.0
270000	-226.98612366260673	-16.95903352958299	-210.02709013302373	0.296181341113371	0.03034761719022493	0.017818507800662	0.0564159032533916	0.5992366306423513	0.03164890668673004	0.0054329776367444136	0.39220783857098956	0.08279729128596931	0.5844349189382313	0.12584897414294252	1.2579124608949457	1.469593684931728	1.8375415398505686	0.012802285648084749	1.6262039176446614	0.40084791689070526	0.35084442753089046	1.2616056665584223	0.42484508340664584	0.7878395973821363	2.076969695186935	2.019955575525061	0.5902520634286113	1.874722362205172	0.6602262878838793	1.0208606533474802	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	1238.0	80.0
280000	-228.54124731264812	-14.292721765548064	-214.24852554710006	0.3503694975394011	0.05681365450293336	0.010246478222590763	0.05069000394013658	0.5318803657949394	0.10599728678323116	0.007340647160496113	0.12976067602473257	0.024223701879265678	0.4710493140880986	0.3558367545180627	0.5417780915588134	0.6205608580518926	0.39454421484010066	0.23654079960804317	0.14625475722832787	0.17446198787684858	0.5916539762456619	0.2742507232130789	0.3182537756921174	1.055554795405926	0.26425280910497556	0.7166726434120422	0.8464513634226889	1.5197758364010328	2.348667277255764	2.9689421003705574	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	1238.0	61.0
290000	-228.92338568519028	-18.639012355574472	-210.28437332961582	0.3917271957013887	0.04670220724376523	0.014488279489276945	0.043721322529284165	0.503360995036286	0.004799848627134212	0.00417719423834814	0.7181397929143621	0.3176176688928396	1.1481416094633663	0.1612327801177771	1.1511974637240256	1.9106654854044312	0.6658031505462639	2.1264654607506754	1.3885692195747716	0.3343470192890593	0.1252581673339098	0.2794081628557655	0.5443899899763279	1.539435896067204	3.0549212314701237	2.5301662559112104	0.8026484596588858	2.0850566207472574	1.4000940372987238	0.49403388460443726	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0	1233.0	73.0
