#node	date	numeric date
NODE_0000104	1807-11-26	1807.903917
D/HQ700535/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
NODE_0000222	2004-01-01	2004.000000
D/HQ700524/PapuaNewGuinea/2004/PapuaNewGuinea/	2004-01-01	2004.000000
D/HQ700525/PapuaNewGuinea/2004/PapuaNewGuinea/	2004-01-01	2004.000000
NODE_0000223	1728-08-19	1728.634547
NODE_0000224	1934-08-19	1934.634505
D/HQ700497/Fiji/2004/Fiji/	2004-01-01	2004.000000
D/HQ700538/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
NODE_0000225	1745-08-18	1745.631749
D/HQ700534/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
NODE_0000229	1933-02-15	1933.127550
D/HQ700537/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
D/HQ700540/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
NODE_0000226	1797-11-16	1797.877598
D/HQ700541/Kiribati/2005/Kiribati/	2005-01-01	2005.000000
NODE_0000227	1814-02-05	1814.100727
D/HQ700533/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
D/HQ700536/Kiribati/2004/Kiribati/	2004-01-01	2004.000000
NODE_0000127	-051-12-16	-50.040087
NODE_0000230	0256-04-11	256.276961
NODE_0000231	0666-03-30	666.243846
LT992454.1DA222/Kazakhstan/850/Kazakhstan/	0850-01-01	850.000000
NODE_0000232	0797-08-07	797.601851
NODE_0000233	1218-11-01	1218.836219
D/AB270538/Mongolia/2005/Mongolia/	2005-01-01	2005.000000
D/AB270539/Mongolia/2005/Mongolia/	2005-01-01	2005.000000
NODE_0000234	1592-06-22	1592.474270
D/KC774450/China/2012/China/	2012-01-01	2012.000000
NODE_0000235	1790-08-23	1790.643761
D/KC774436/China/2012/China/	2012-01-01	2012.000000
D/KC774460/China/2012/China/	2012-01-01	2012.000000
NODE_0000236	0539-07-22	539.557636
NODE_0000237	0744-04-07	744.267147
D/EU939680/China/2005/China/	2005-01-01	2005.000000
NODE_0000239	0782-01-22	782.060631
D/JN664943/India/2010/India/	2010-01-01	2010.000000
NODE_0000240	1476-01-03	1476.009874
D/KF779214/USA/1999/USA/	1999-01-01	1999.000000
NODE_0000241	1580-08-24	1580.647149
D/EU414142/Belarus/2005/Belarus/	2005-01-01	2005.000000
NODE_0000242	1648-01-11	1648.032141
D/EU414141/Belarus/2005/Belarus/	2005-01-01	2005.000000
D3/EU594436/Russia/1997/Russia/	1997-01-01	1997.000000
NODE_0000243	0886-06-11	886.444811
NODE_0000244	1406-01-08	1406.022900
D/GQ183478/India/2009/India/	2009-01-01	2009.000000
D/GQ183485/India/2009/India/	2009-01-01	2009.000000
NODE_0000245	0916-04-14	916.286798
D/GQ183486/India/2009/India/	2009-01-01	2009.000000
D/KC774437/China/2012/China/	2012-01-01	2012.000000
NODE_0000247	1111-11-29	1111.914207
NODE_0000248	1211-06-26	1211.485108
D3/KM577666/Iran/2006/Iran/	2006-01-01	2006.000000
D3/KM577667/Iran/2006/Iran/	2006-01-01	2006.000000
NODE_0000249	1415-12-08	1415.937045
D3/KM577665/Iran/2006/Iran/	2006-01-01	2006.000000
NODE_0000250	1985-11-26	1985.905254
D3/KM577663/Iran/2006/Iran/	2006-01-01	2006.000000
D3/KM577664/Iran/2006/Iran/	2006-01-01	2006.000000
NODE_0000251	0640-12-17	640.961476
NODE_0000252	0695-11-18	695.883315
LT992438.1DA29/Kazakhstan/1195/Kazakhstan/	1195-01-01	1195.000000
NODE_0000253	0851-06-09	851.440559
D/EU414143/Belarus/2005/Belarus/	2005-01-01	2005.000000
NODE_0000254	1356-04-03	1356.256240
NODE_0000255	1855-07-23	1855.560695
D/AB554016/Indonesia/2009/Indonesia/	2009-01-01	2009.000000
NODE_0000256	1910-02-10	1910.113864
D/AB554023/Indonesia/2009/Indonesia/	2009-01-01	2009.000000
D/AB554024/Indonesia/2009/Indonesia/	2009-01-01	2009.000000
NODE_0000257	1372-09-18	1372.714807
NODE_0000258	1474-08-17	1474.629353
D/EU921418/Indonesia/2007/Indonesia/	2007-01-01	2007.000000
D/EU921419/Indonesia/2007/Indonesia/	2007-01-01	2007.000000
NODE_0000259	1510-11-03	1510.843169
D/AB493846/Indonesia/2004/Indonesia/	2004-01-01	2004.000000
NODE_0000260	1828-01-31	1828.087190
D/AB493845/Indonesia/2004/Indonesia/	2004-01-01	2004.000000
D/AB493848/Indonesia/2004/Indonesia/	2004-01-01	2004.000000
NODE_0000261	0681-01-12	681.035248
NODE_0000262	0735-01-07	735.020996
NODE_0000263	0812-10-14	812.787023
D/FJ349213/Belgium/1999/Belgium/	1999-01-01	1999.000000
D/FJ349232/Belgium/2006/Belgium/	2006-01-01	2006.000000
NODE_0000264	1116-07-31	1116.581938
D3/KM359442/Argentina/2009/Argentina/	2009-01-01	2009.000000
D3/KM386676/Argentina/2009/Argentina/	2009-01-01	2009.000000
NODE_0000265	0709-06-19	709.467820
D/AB270537/Mongolia/2005/Mongolia/	2005-01-01	2005.000000
NODE_0000266	0739-05-25	739.398375
NODE_0000267	1106-08-09	1106.605121
D/JN664912/India/2010/India/	2010-01-01	2010.000000
D/JN664913/India/2010/India/	2010-01-01	2010.000000
NODE_0000268	0762-06-18	762.462952
D/GU563560/Belgium/2005/Belgium/	2005-01-01	2005.000000
NODE_0000269	0783-12-30	783.999204
NODE_0000270	1205-10-04	1205.758667
D3/HQ236016/Serbia/2007/Serbia/	2007-01-01	2007.000000
NODE_0000271	1481-11-07	1481.854082
D3/HQ236014/Serbia/2007/Serbia/	2007-01-01	2007.000000
D3/HQ236015/Serbia/2007/Serbia/	2007-01-01	2007.000000
NODE_0000272	0800-11-08	800.856605
MG585269-NASD24SEQ/Italy/1578/Italy/	1578-01-01	1578.000000
NODE_0000273	0830-02-06	830.102700
NODE_0000274	1186-04-29	1186.327645
D3/GQ922000/Canada/1985/Canada/	1985-01-01	1985.000000
NODE_0000275	1697-08-21	1697.639759
D3/GQ922001/Canada/1984/Canada/	1984-01-01	1984.000000
