# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 12 16:59:04 CEST 2023 [seed=1694530728776]
# -beagle_double HBV-D_updated_geo_priors_completeHistory_posterior_run1.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
200000	-341.4611153087783	-25.49626121869263	-315.9648540900857	0.20898302498424864	0.3585249281583686	0.0333997846112514	0.14753479444875225	0.2515574677973801	0.44393953110943124	3.7632185653566037E-4	0.6342134274800122	0.8664743932172705	1.8530812039753992	0.6070474931825385	0.9711463954987328	1.3348314565497998	0.25646710259983596	1.0251170617298775	0.09823721495311094	1.447273580535213	0.7493558473301272	0.1878787520500216	1.0651346334032834	0.9639949347539147	2.0162764950101635	1.4763518512663203	0.2215787999498288	4.340395171505029	1.6514323355598015	1.727755814591824	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	1684.0	86.0
210000	-322.70621627020404	-14.498821611378219	-308.2073946588258	0.2200634367409605	0.3527414263772935	3.2645139895411915E-4	0.11047846237532542	0.31639022310746745	0.007050332238498558	1.9235848511570233E-4	0.10745638117844009	0.879274421373952	0.7812544724901542	0.4366920413345608	0.13474656801228782	0.31868532724796594	0.17628709310345228	0.6090292755477594	0.04544242422574092	0.9065957696603798	0.0022491248568295933	1.1883452017067027	1.5561428831746618	0.671574403807033	0.37017884329501854	2.8685241504037964	1.6710666220517911	2.391041496803734	1.5013439574111305	2.2866030113671165	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	875.0	81.0
220000	-327.44905716559146	-13.377180204304125	-314.07187696128733	0.2303117641312375	0.4024721736038847	0.018093225706807287	0.06044619632479078	0.2886766402332806	5.416662832769972E-4	2.7615294336159115E-4	8.282971672212581E-4	0.1707749260134213	0.6064472577904708	1.4468615404867244	0.2029099365856795	0.6863830209601929	0.6088038908620117	1.3495845252116252	0.18126246455980335	2.308032304882577	4.0159035826056234E-4	0.13355158005630444	0.5167046676588153	1.4345715935937724	0.021905173692569602	1.203364361117627	1.1420552731413245	4.431654997762542	1.8278909196015547	2.599258646867167	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	12.0	1684.0	80.0
230000	-317.745373407965	-7.302851741536172	-310.44252166642883	0.29626139210790786	0.3973347359436601	0.013990360088168792	0.049002670491795845	0.24341084136846833	4.513842769043658E-4	2.1502366460030654E-4	7.710977520023298E-4	0.3793993937859417	0.39576781716456005	2.487239026628072	0.5356183485769084	0.25658033580305445	1.0552889454812195	0.24565421473535923	0.49155063641286595	0.3634414421526953	0.04703538014007368	0.776365687995741	0.4936526867333912	0.5399771527676335	0.2014726672813773	1.5612252458572906	0.9475564572411507	1.0605393831614212	1.682974675185236	1.3214415805259654	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	13.0	875.0	89.0
240000	-321.0175556512646	-12.764195431703483	-308.25336021956116	0.3338284716387546	0.3950585484032719	0.0982131581782436	0.010245147959294041	0.16265467382043697	0.0012298710583123834	3.562458324244417E-4	0.01555968420422769	0.012620967792050903	0.720069797768247	0.4944825067563841	1.645763016017237	0.7657056061290898	0.21967340980110922	1.0814518397035535	0.03325200417955887	1.4214334850139927	0.3473530010966643	0.44380685139417053	0.1267478369436961	1.1828762696088582	0.03350584388469809	2.6190530900236655	1.0077070261131522	2.8475178049595793	2.228661571199989	2.0028147658273703	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	1684.0	81.0
250000	-325.9480737998454	-14.105957022443704	-311.8421167774017	0.3004874961926893	0.3049485983054617	0.15122089930844215	0.09318704867515161	0.15015595751825622	2.1891424287520482E-4	2.5608141015489005E-4	0.5253802541628934	0.00908005339437875	0.4505116066035357	1.5275708703768258	0.1690440300728649	1.170673208977019	0.18669797496377621	0.9051857420508143	0.1612482588063875	1.4927298352169314	0.2785323763666489	0.8541402587049811	1.2995456988048315	0.7662393410266624	0.24563251222166715	2.5985668170643783	1.7456835278290355	3.9745967223201215	2.417473588056159	1.7049706912479379	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	572.0	80.0
260000	-322.48123888498714	-12.48213493407747	-309.99910395090967	0.2600131938325972	0.34225334523072404	0.17980733384287048	0.04821729953829736	0.1697088275555117	1.5586355085492912E-4	2.734645112582401E-4	0.45702397300653	0.05615216042348546	0.660945566924686	0.22077396409606176	0.622915157290305	0.567617030182242	0.11299641530698003	0.8017596317597565	0.7409715934091472	1.1360652582041315	1.8173020606326036	0.15834057895090667	0.9943939945057674	0.9614184804365816	0.11434437782494712	2.9366976406057335	0.23790490471961556	2.488882332944035	2.667904428884293	2.8477976879336397	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	403.0	91.0
270000	-323.6730649755186	-7.556212805307967	-316.1168521702107	0.19467103881638456	0.3920100566510306	0.12000337363953154	0.09083268757230231	0.20248284332075192	2.3214338863055114E-4	5.531552735143878E-4	0.094995863898625	0.11146589679243839	0.160877657464612	0.08938678963911509	0.328674976607076	0.44780081315673725	0.12129312528986647	0.6213891108041036	1.0520209096076039	1.279077325543952	0.25286772141523595	0.10984858416489045	0.34593191705155574	0.4264571479717201	0.5631334303843166	1.441170676695431	0.8598171161818957	2.103568286951497	0.9447505443576494	1.621547411172966	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	16.0	1019.0	81.0
280000	-324.73689647813075	-12.154812123090084	-312.58208435504065	0.1800085242457825	0.4301016738399148	0.0917760593068724	0.08992049527930601	0.20819324732812527	5.640894444753314E-4	5.143392149394696E-4	0.0017895558576968415	0.4245430356012242	3.6067205832554046	0.548283382198291	0.5489394300221496	0.17368761785035514	0.020384562621103816	0.031942841538605486	0.1059246232485912	1.632699861851144	1.0575433010594235	0.1811968305247813	0.334794449009217	1.1794032273998545	0.3489861472376913	2.1663140643056362	1.35872379765917	2.2262697425117737	1.2522803513543177	1.725248730118705	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1019.0	94.0
290000	-327.14034876659525	-13.46240439485222	-313.677944371743	0.19572921123121764	0.43431693760335666	0.09733761135604413	0.09049593581480708	0.1821203039945756	0.02328815316167578	3.1614440445443E-4	0.02818041759396903	0.5138470700162161	0.16777874775807916	1.7322891527390898	0.07252137513706697	0.7095450526733593	0.0734607497902444	0.3475014739668413	0.7560012234291926	1.2315530331423323	0.21214060885060582	1.3779799924265497	0.8084458480645093	0.2090545174583635	1.3578033515428047	1.859855271650129	0.6954063860084586	2.0102793783597814	0.662287758539583	1.1581589648310986	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	475.0	83.0
