# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 09 02:30:18 CEST 2020 [seed=1587935552865]
# -seed 1587935552865 HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
190000	0.8945244380542392	3.0294624439860174	0.03840559440226247	0.24316279336696733	1.2825666455016522	0.6389217502036891	0.0	1.0	0.0	1.0	0.0	1.0	3.0
200000	0.19181927049298741	0.9431024195172785	0.6601128325615049	2.1627038304727657	0.3119796974424016	0.0016631202151962277	1.0	1.0	1.0	0.0	1.0	0.0	4.0
210000	0.722299997946034	2.665387937703099	0.6026248537694338	0.8958911483888834	0.6353686112082042	0.9126387832890729	1.0	1.0	0.0	1.0	1.0	1.0	5.0
220000	0.1271450719358518	1.0172617097977232	0.1920245252555679	3.165818364845407	1.0478896831399063	0.11569472465715842	1.0	1.0	0.0	1.0	1.0	0.0	4.0
230000	1.0698312698056338	2.3204752537189908	0.22649300959540974	0.18567142856487204	0.07484311262456372	2.0997502756551922	1.0	1.0	1.0	0.0	1.0	1.0	5.0
240000	0.21989556136549937	0.5416647216602389	0.5509784328139429	0.10633040876179298	0.022009674787264608	0.21275987748783098	1.0	1.0	0.0	1.0	1.0	1.0	5.0
250000	1.1242342799441096	2.556739055333202	0.1554888462864915	0.8813537017139125	0.06496007551634465	0.40074234729662167	1.0	1.0	1.0	0.0	1.0	0.0	4.0
260000	0.703969130504814	1.312405967968561	3.283735954681379	0.4335419815205618	2.5510134929610726	0.7337714416631559	1.0	1.0	0.0	1.0	0.0	1.0	4.0
270000	0.0461874630746512	1.9765776460329045	0.0761706052300876	0.00543793274714819	2.3388148690008332	1.0914918063661123	1.0	1.0	0.0	1.0	0.0	1.0	4.0
280000	0.27940166924986637	1.3048547543044047	0.045398580429578714	0.3342299578422786	0.15530145562611375	0.9697069863689285	1.0	1.0	1.0	1.0	1.0	0.0	5.0
290000	0.14336565621126202	5.828649912178758	0.12135455192929205	0.6536431637693273	0.24472415263554356	2.855350128020886	1.0	1.0	1.0	1.0	1.0	0.0	5.0
300000	0.5483725490534596	1.6074883241738323	0.8613262967052385	0.016441149596876262	0.13986970502401203	2.4316764468143655	1.0	1.0	1.0	1.0	1.0	1.0	6.0
310000	0.4488463483475196	3.125611071321311	1.4570035258557938	0.6903837804656568	0.3666019478485306	0.21616744845660124	1.0	1.0	1.0	1.0	0.0	1.0	5.0
320000	0.5666043597508352	2.3379128218903684	0.3155546577562592	0.7949334154790026	0.1827671210108695	1.2000632790131243	1.0	1.0	0.0	1.0	0.0	1.0	4.0
330000	0.3361954110485527	3.388813227617107	2.681643224803394	1.36296265440955	0.793041443961842	0.5878594696545943	1.0	1.0	1.0	0.0	1.0	1.0	5.0
340000	0.6086394512657013	3.4920056553408516	0.4960161969253675	2.341312014227653	0.0914807372736537	1.697328679180192	1.0	1.0	1.0	1.0	0.0	1.0	5.0
350000	0.1713343083780484	1.9528376923933275	0.24180247644012182	0.08308261865884244	1.057024994576191	0.3795334087170964	1.0	1.0	0.0	1.0	0.0	1.0	4.0
360000	0.44980798823158735	0.3332146682027731	7.264520918066674	2.5447028805883973	0.7153666143247768	2.1827819834829	1.0	1.0	0.0	1.0	1.0	1.0	5.0
370000	0.18009413233133928	3.4522793263333313	0.04358364466786199	0.29698663826133254	0.10421073058653116	0.4455223173164432	1.0	1.0	0.0	1.0	1.0	1.0	5.0
380000	0.48964213563011744	3.505201062442891	0.3367013244077303	0.8101327763306835	0.6397866233964045	0.6458734504043422	1.0	1.0	1.0	1.0	1.0	0.0	5.0
390000	0.2494959691378838	0.9232964685105655	3.02623804890832	0.33158850230372244	0.6672831319231131	0.26293659755508436	1.0	1.0	0.0	1.0	1.0	1.0	5.0
400000	0.5339995163255287	2.0481404917015174	0.3149114432782595	0.1686667833735592	0.14874759791952508	1.0719422780474823	1.0	1.0	1.0	0.0	1.0	1.0	5.0
410000	0.42510637170999344	3.808437170617259	0.4366633026173712	2.0929187413790324	0.4204280710228496	1.2121428635337477	1.0	1.0	1.0	0.0	1.0	0.0	4.0
420000	0.6757459623884144	3.3519291789793173	0.48464297445746507	0.6894086017926524	0.8423263273849414	1.3165222521176778	1.0	1.0	1.0	1.0	0.0	1.0	5.0
430000	0.6973201739794039	1.400284897156167	1.1667958061626091	0.4593759002953654	0.1893860002159742	0.6112319049788404	1.0	1.0	0.0	1.0	1.0	1.0	5.0
440000	1.6252132741227494	1.9510924404935828	0.021251681667739636	2.48511652627067	0.8069719445862276	4.623669999126621	0.0	1.0	0.0	1.0	0.0	1.0	3.0
450000	0.04297381522889146	1.1659048224544624	0.800443234798817	0.36964099343180806	1.7763489434382698	0.08703534775773085	1.0	1.0	1.0	1.0	0.0	1.0	5.0
460000	0.4476841433004222	0.933056974176078	0.48413995584247865	0.31250617916958995	0.6398179509763717	0.5783145934029781	1.0	1.0	1.0	1.0	0.0	1.0	5.0
470000	0.40329121924495465	1.931667839749999	0.4879968679418656	0.6475258055263814	9.006915826271838E-4	1.860784361405895	1.0	1.0	0.0	1.0	1.0	0.0	4.0
480000	0.30085676646850956	1.1561666696332873	0.685774876479276	1.0414201101394955	1.4394788585957434	0.3740360290756877	1.0	1.0	0.0	1.0	1.0	1.0	5.0
490000	1.517605812400143	2.683377505070077	0.1770045878856286	0.6025419750925428	4.590245150140376	4.083640270193644	1.0	1.0	0.0	1.0	1.0	0.0	4.0
500000	0.26095141304024666	0.7015623368238207	0.1335569813941467	0.15765223363198466	0.07729086178686974	0.15706747708977845	1.0	1.0	0.0	1.0	1.0	1.0	5.0
510000	0.4404827455992188	1.3084792370394887	0.23363614521640028	2.776497558036176	3.3149838473575346	0.9308987462218969	1.0	1.0	0.0	1.0	0.0	1.0	4.0
520000	0.045163314287949924	1.1416649160948598	1.4681592871248765	0.42436745458623004	0.5180524088917399	0.7063794035495504	0.0	1.0	0.0	1.0	0.0	1.0	3.0
530000	1.1553416345062262	3.1717659899239248	0.06375894427968319	2.034657497167343	0.4441945659081842	0.6704989103593446	1.0	1.0	0.0	1.0	0.0	1.0	4.0
540000	0.7439937559480427	3.7897167592563985	0.8968656369165806	0.3922437602886913	0.8560542679971459	6.617495180636843	1.0	1.0	1.0	1.0	1.0	0.0	5.0
550000	0.6387240348207258	1.5031729967612006	0.8884959431184509	0.42892372639668197	0.6899167145780938	0.40612159115304625	0.0	1.0	0.0	1.0	0.0	1.0	3.0
560000	1.034133146127698	3.1929966681517707	0.1820887926686552	0.12417581235521917	0.9737146065189097	1.4276875929437436	1.0	1.0	1.0	0.0	1.0	0.0	4.0
570000	0.6029772950776155	2.114134590716236	0.027144800373095832	0.0028419250395247315	1.3255221008202878	2.3803553552083443	1.0	1.0	1.0	0.0	1.0	0.0	4.0
580000	0.14832390899487197	0.8638909870895657	0.5215639021802375	0.020981711601775862	0.2453293363000962	0.003274750343344135	1.0	1.0	1.0	1.0	0.0	1.0	5.0
590000	1.00538639450844	1.853612949501298	0.57205245754529	0.8052268994112851	1.0037465413569986	1.3664325820193397	0.0	1.0	0.0	1.0	0.0	1.0	3.0
600000	0.736881921127799	1.309936332083704	0.7398078780290517	0.34621127273403124	0.029014867943368793	0.36958281089315537	1.0	1.0	0.0	1.0	1.0	1.0	5.0
610000	0.18111822853773943	1.5888805342160637	0.3805412290478295	0.6119670158353399	0.2870553584182557	0.7793676283388274	0.0	1.0	1.0	1.0	1.0	1.0	5.0
620000	0.3503574431877601	0.9935515692712907	0.2082965934443518	2.2173554447222346	0.3272725901309052	0.15473311464836828	1.0	1.0	1.0	0.0	1.0	0.0	4.0
630000	0.3725829405053221	0.45494665467347584	0.03359508093317391	1.7681838786993376	0.4447575246328606	0.5009326529234721	1.0	1.0	1.0	0.0	1.0	0.0	4.0
640000	0.6878670999458181	1.2427461311178085	0.29905534343414936	3.9807724953618706	1.5290239081748516	1.2570762819015278	1.0	1.0	1.0	0.0	1.0	0.0	4.0
650000	0.04580136743363174	0.912985033071455	2.13339998769185	0.6028836661833415	0.3981145632482379	0.4508549798226777	0.0	1.0	0.0	1.0	0.0	1.0	3.0
660000	0.5421631177716654	1.2471924444311993	0.06729209014169552	0.30309489915809074	0.0892426745809104	0.2794477743320574	0.0	1.0	1.0	0.0	1.0	1.0	4.0
