# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 09 02:30:18 CEST 2020 [seed=1587935552865]
# -seed 1587935552865 HBV-E_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	location.branchRates	location.treeLikelihood
370000	-46.41482752025089	-2.0931726303858125	-44.32165488986507	5.52292145483403E-4	5.522921454834033E-4	0.18009413233133928	3.4522793263333313	0.04358364466786199	0.29698663826133254	0.10421073058653116	0.4455223173164432	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-44.32165488986507
380000	-44.34062960147679	-4.433273053438441	-39.90735654803835	5.094644146622421E-4	5.094644146622427E-4	0.48964213563011744	3.505201062442891	0.3367013244077303	0.8101327763306835	0.6397866233964045	0.6458734504043422	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-39.90735654803835
390000	-46.8333209398343	-3.8425163126230752	-42.990804627211226	4.804308804808589E-4	4.804308804808588E-4	0.2494959691378838	0.9232964685105655	3.02623804890832	0.33158850230372244	0.6672831319231131	0.26293659755508436	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-42.990804627211226
400000	-42.492066657165466	-3.1827172395023884	-39.30934941766308	5.987607166512265E-4	5.987607166512265E-4	0.5339995163255287	2.0481404917015174	0.3149114432782595	0.1686667833735592	0.14874759791952508	1.0719422780474823	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-39.30934941766308
410000	-49.332263126423435	-6.384167353166311	-42.94809577325712	4.357740934069082E-4	4.357740934069082E-4	0.42510637170999344	3.808437170617259	0.4366633026173712	2.0929187413790324	0.4204280710228496	1.2121428635337477	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-42.94809577325712
420000	-45.712415502131975	-4.293454745164933	-41.41896075696704	5.653685634314028E-4	5.653685634314017E-4	0.6757459623884144	3.3519291789793173	0.48464297445746507	0.6894086017926524	0.8423263273849414	1.3165222521176778	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-41.41896075696704
430000	-45.86073385039033	-2.889936964388189	-42.97079688600214	6.463893862603831E-4	6.463893862603835E-4	0.6973201739794039	1.400284897156167	1.1667958061626091	0.4593759002953654	0.1893860002159742	0.6112319049788404	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-42.97079688600214
440000	-62.04148342551296	-20.679328386124226	-41.36215503938873	0.001058706166850372	0.0010587061668503716	1.6252132741227494	1.9510924404935828	0.021251681667739636	2.48511652627067	0.8069719445862276	4.623669999126621	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-41.36215503938873
450000	-46.6606898778987	-1.7526821086971016	-44.908007769201596	6.800605980831189E-4	6.800605980831184E-4	0.04297381522889146	1.1659048224544624	0.800443234798817	0.36964099343180806	1.7763489434382698	0.08703534775773085	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-44.908007769201596
460000	-43.23504681102209	-2.6744432413239263	-40.56060356969816	0.001123746763670801	0.0011237467636708003	0.4476841433004222	0.933056974176078	0.48413995584247865	0.31250617916958995	0.6398179509763717	0.5783145934029781	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-40.56060356969816
470000	-41.134461362426975	-1.3751753569030054	-39.75928600552397	6.009005610828645E-4	6.009005610828643E-4	0.40329121924495465	1.931667839749999	0.4879968679418656	0.6475258055263814	9.006915826271838E-4	1.860784361405895	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-39.75928600552397
480000	-44.699750261961114	-4.115880364634801	-40.58386989732631	6.673339419139341E-4	6.673339419139336E-4	0.30085676646850956	1.1561666696332873	0.685774876479276	1.0414201101394955	1.4394788585957434	0.3740360290756877	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-40.58386989732631
490000	-54.35086958095565	-10.73506651684457	-43.615803064111084	0.0010002215789555755	0.001000221578955576	1.517605812400143	2.683377505070077	0.1770045878856286	0.6025419750925428	4.590245150140376	4.083640270193644	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-43.615803064111084
500000	-51.291401925479754	-5.446065001909695	-45.84533692357006	0.0012311910696115494	0.0012311910696115487	0.26095141304024666	0.7015623368238207	0.1335569813941467	0.15765223363198466	0.07729086178686974	0.15706747708977845	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-45.84533692357006
510000	-50.72588068858972	-9.519872956092774	-41.20600773249694	0.0012925781823610592	0.001292578182361058	0.4404827455992188	1.3084792370394887	0.23363614521640028	2.776497558036176	3.3149838473575346	0.9308987462218969	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-41.20600773249694
520000	-46.16137794419718	0.8396910271401667	-47.00106897133735	5.354718481928322E-4	5.354718481928321E-4	0.045163314287949924	1.1416649160948598	1.4681592871248765	0.42436745458623004	0.5180524088917399	0.7063794035495504	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-47.00106897133735
530000	-46.51617808187616	-5.955931011361911	-40.56024707051425	9.536585960391647E-4	9.536585960391621E-4	1.1553416345062262	3.1717659899239248	0.06375894427968319	2.034657497167343	0.4441945659081842	0.6704989103593446	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-40.56024707051425
540000	-53.810248777709674	-12.38148945324556	-41.42875932446411	9.663595557417063E-4	9.66359555741706E-4	0.7439937559480427	3.7897167592563985	0.8968656369165806	0.3922437602886913	0.8560542679971459	6.617495180636843	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-41.42875932446411
550000	-45.12340374225508	-1.446544085390307	-43.67685965686477	7.704688633757279E-4	7.704688633757284E-4	0.6387240348207258	1.5031729967612006	0.8884959431184509	0.42892372639668197	0.6899167145780938	0.40612159115304625	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-43.67685965686477
560000	-46.608118166310625	-3.1931727995115002	-43.414945366799124	5.651729421472783E-4	5.651729421472778E-4	1.034133146127698	3.1929966681517707	0.1820887926686552	0.12417581235521917	0.9737146065189097	1.4276875929437436	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-43.414945366799124
570000	-50.348338125484005	-7.0610691749524515	-43.287268950531555	0.001057339121365867	0.001057339121365867	0.6029772950776155	2.114134590716236	0.027144800373095832	0.0028419250395247315	1.3255221008202878	2.3803553552083443	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-43.287268950531555
580000	-42.42789940467294	-1.8861331971507236	-40.541766207522215	0.0011294747061110194	0.001129474706111019	0.14832390899487197	0.8638909870895657	0.5215639021802375	0.020981711601775862	0.2453293363000962	0.003274750343344135	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-40.541766207522215
590000	-47.90173996885975	-5.791762005093248	-42.109977963766504	0.001122091115022041	0.001122091115022041	1.00538639450844	1.853612949501298	0.57205245754529	0.8052268994112851	1.0037465413569986	1.3664325820193397	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-42.109977963766504
600000	-45.61291157795186	-2.506761208706204	-43.10615036924566	7.263793459151635E-4	7.263793459151629E-4	0.736881921127799	1.309936332083704	0.7398078780290517	0.34621127273403124	0.029014867943368793	0.36958281089315537	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-43.10615036924566
610000	-47.48575522740758	-3.720235952156295	-43.765519275251286	8.841077946003567E-4	8.841077946003574E-4	0.18111822853773943	1.5888805342160637	0.3805412290478295	0.6119670158353399	0.2870553584182557	0.7793676283388274	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	-43.765519275251286
620000	-44.5366391460535	-0.7965304704969949	-43.740108675556506	7.914248243435219E-4	7.914248243435206E-4	0.3503574431877601	0.9935515692712907	0.2082965934443518	2.2173554447222346	0.3272725901309052	0.15473311464836828	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-43.740108675556506
630000	-44.13422456853714	-1.3073698676671128	-42.82685470087003	5.377643707435661E-4	5.377643707435658E-4	0.3725829405053221	0.45494665467347584	0.03359508093317391	1.7681838786993376	0.4447575246328606	0.5009326529234721	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-42.82685470087003
640000	-49.17771898642079	-6.78963096566672	-42.388088020754076	8.150825288841104E-4	8.15082528884111E-4	0.6878670999458181	1.2427461311178085	0.29905534343414936	3.9807724953618706	1.5290239081748516	1.2570762819015278	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-42.388088020754076
650000	-45.1496105744834	-1.8897177372887826	-43.25989283719461	9.583300283333574E-4	9.583300283333586E-4	0.04580136743363174	0.912985033071455	2.13339998769185	0.6028836661833415	0.3981145632482379	0.4508549798226777	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-43.25989283719461
660000	-45.42795062166196	1.5728955477222208	-47.000846169384175	5.005029201700607E-4	5.005029201700604E-4	0.5421631177716654	1.2471924444311993	0.06729209014169552	0.30309489915809074	0.0892426745809104	0.2794477743320574	0.0	1.0	1.0	0.0	1.0	1.0	4.0	0.0	-47.000846169384175
670000	-50.200816708954974	-6.720856554979722	-43.47996015397525	9.432437548582734E-4	9.432437548582732E-4	0.3541047199641188	1.4699144852157071	0.6577502690438629	0.5816379913093609	0.4742798310972593	0.4958026299099218	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-43.47996015397525
680000	-49.629634448483685	-7.4043005327654345	-42.22533391571825	0.0013099266309662587	0.0013099266309662611	0.6846834869650238	0.9444306821341119	0.47588724887648465	4.231984475326654	0.5861407193955236	0.37976328001156107	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.22533391571825
690000	-43.22893908903955	-0.641487981949977	-42.58745110708957	5.227546467331652E-4	5.227546467331651E-4	0.14293523132104657	0.8873112218853009	0.3781670012381968	0.9262531497922262	0.47589271213350015	1.7057950244668818	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-42.58745110708957
