state	from	to	time
160000	Africa	Europe	16.414501127305932
160000	Africa	Europe	16.600169333781867
160000	Africa	Americas	4.963172902856682
170000	Americas	Africa	21.151053839191263
170000	Africa	Europe	40.24746602435662
170000	Africa	Europe	21.854260575329974
170000	Africa	Europe	19.801044732816173
170000	Africa	Europe	12.106333271625282
170000	Africa	Europe	6.664618255017899
170000	Africa	Americas	15.631674398424938
170000	Africa	Europe	20.010811318621236
170000	Africa	Europe	33.05454579758486
170000	Americas	Africa	138.11296971505163
180000	Africa	Europe	40.87408872922558
180000	Africa	Europe	13.372489738384306
180000	Africa	Europe	17.577458616676843
180000	Africa	Europe	19.38451134152327
180000	Africa	Europe	12.636662323088087
180000	Africa	Europe	17.967868691749413
180000	Africa	Europe	9.234336971687405
180000	Africa	Americas	21.539642227690607
190000	Africa	Europe	108.25084024737035
190000	Africa	Europe	14.955392206633618
190000	Africa	Europe	42.75960679098463
190000	Africa	Europe	9.543464676234084
190000	Africa	Europe	7.217858229417697
190000	Africa	Europe	13.075321014402874
190000	Africa	Europe	38.90578675001859
190000	Africa	Europe	25.477665737753917
190000	Europe	Americas	18.85705366159551
200000	Africa	Europe	24.73101937826314
200000	Africa	Europe	17.670392339994265
200000	Africa	Europe	15.29673886850208
200000	Africa	Europe	11.358581180958927
200000	Africa	Europe	7.194254359476929
200000	Africa	Americas	10.125415163189416
200000	Africa	Europe	31.13158761582297
200000	Africa	Europe	9.972504270170992
210000	Africa	Europe	50.71499530949093
210000	Africa	Europe	12.188165338809332
210000	Africa	Europe	23.019323668146285
210000	Africa	Europe	10.606665121232387
210000	Africa	Europe	13.16250455273929
210000	Africa	Americas	19.974200381801353
210000	Africa	Europe	18.086829834393985
210000	Africa	Europe	16.33753712172955
220000	Africa	Europe	19.65600395266585
220000	Africa	Europe	13.512244571843528
220000	Africa	Europe	33.101324685942025
220000	Africa	Europe	26.37446502075668
220000	Africa	Europe	9.429702705258197
220000	Africa	Europe	8.191307890257422
220000	Africa	Europe	17.661376300326488
220000	Africa	Americas	21.09400387757981
230000	Africa	Europe	18.495816878933447
230000	Africa	Europe	11.892210044996721
230000	Africa	Europe	16.029182985656956
230000	Africa	Europe	6.094676427004561
230000	Africa	Europe	3.315791193171579
230000	Africa	Americas	12.692297362960112
230000	Africa	Europe	16.968028987533835
230000	Africa	Europe	13.658850202846438
240000	Africa	Europe	31.943749108657908
240000	Africa	Europe	16.000626325313696
240000	Africa	Europe	29.229639211964404
240000	Africa	Europe	8.407496894288553
240000	Africa	Europe	24.96688981590109
240000	Africa	Europe	21.96948101937966
240000	Africa	Europe	29.77950734709559
240000	Africa	Americas	21.4269648099275
250000	Africa	Europe	23.46913513231857
250000	Africa	Europe	12.115651812773596
250000	Africa	Europe	19.284541403599018
250000	Africa	Europe	12.273132250172122
250000	Africa	Europe	7.241663568582688
250000	Africa	Europe	10.47971091492359
250000	Africa	Europe	23.59536140728497
250000	Africa	Americas	14.690672684836866
260000	Africa	Europe	25.072934235998183
260000	Africa	Europe	20.705708806530993
260000	Africa	Europe	20.24277126821079
260000	Africa	Europe	6.106690050305895
260000	Africa	Europe	10.794292099874836
260000	Africa	Americas	22.198187197932285
260000	Africa	Europe	21.514363850874584
260000	Africa	Europe	19.856251002562445
270000	Africa	Europe	50.089029456609026
270000	Africa	Europe	11.413436650476442
270000	Africa	Europe	17.479766988063126
270000	Africa	Europe	7.252149607725251
270000	Africa	Europe	24.146518350345424
270000	Africa	Europe	18.130453298851535
270000	Africa	Europe	12.494281149008502
270000	Africa	Americas	8.905915142560339
280000	Africa	Europe	46.4531716897153
280000	Africa	Europe	13.438852920285392
280000	Africa	Europe	30.890521728665554
280000	Africa	Europe	5.1788011641917
280000	Africa	Europe	8.331346451360897
280000	Africa	Europe	24.576848458287913
280000	Africa	Europe	5.483542766452258
280000	Africa	Americas	8.087075120696914
290000	Africa	Europe	12.269658299269842
290000	Africa	Europe	17.044150858742903
290000	Africa	Europe	23.432551149394293
290000	Africa	Europe	9.173646854294518
290000	Africa	Europe	10.14851018541758
290000	Africa	Europe	11.693717325608567
290000	Africa	Europe	6.665212134135022
290000	Africa	Americas	17.687232608083068
290000	Africa	Europe	28.39510143795998
300000	Africa	Europe	20.308464827159774
300000	Africa	Europe	16.147046166565282
300000	Africa	Europe	42.23988319381603
300000	Africa	Europe	3.269640420904981
300000	Africa	Europe	9.740455322750494
300000	Africa	Europe	10.942546997970776
300000	Africa	Europe	18.28818120642123
300000	Africa	Americas	8.436556256513935
310000	Africa	Europe	11.72395693114703
310000	Africa	Europe	19.36677436277132
310000	Africa	Europe	15.015694906646079
310000	Africa	Europe	11.961242157929313
310000	Africa	Europe	5.763065824412786
310000	Africa	Europe	15.65584775559125
310000	Africa	Europe	17.889762018814757
310000	Africa	Americas	14.32025784862202
320000	Africa	Europe	9.930165436464112
320000	Africa	Europe	23.231477586135362
320000	Africa	Europe	21.338146390042574
320000	Africa	Europe	15.863827895721577
320000	Africa	Europe	13.679488308616198
320000	Africa	Europe	16.51007416560303
320000	Africa	Europe	20.964045667710707
320000	Africa	Americas	6.854176376100167
330000	Africa	Europe	30.718696968610047
330000	Africa	Europe	11.999742805982653
330000	Africa	Europe	19.113989960989862
330000	Africa	Europe	24.142974585712757
330000	Africa	Europe	13.787371964408194
330000	Africa	Americas	15.711600125286799
330000	Africa	Europe	23.693565507120184
330000	Africa	Europe	12.483693331788281
340000	Africa	Europe	14.4933485355399
340000	Africa	Europe	18.35689593735023
340000	Africa	Europe	28.99412965410705
340000	Africa	Europe	4.04960677821809
340000	Africa	Europe	7.211831831712723
340000	Africa	Europe	11.349417289995241
340000	Africa	Europe	17.07401250520526
340000	Africa	Americas	8.30817761000727
350000	Africa	Europe	9.636250009999412
350000	Africa	Europe	19.58040866870637
350000	Africa	Europe	21.259316021736986
350000	Africa	Europe	3.197450378915235
350000	Africa	Europe	11.924788849507012
350000	Africa	Europe	17.703753418174305
350000	Africa	Europe	11.195805947499503
350000	Africa	Americas	6.924246360971534
360000	Africa	Europe	30.93025580878027
360000	Africa	Europe	21.396761398671977
360000	Africa	Europe	30.696613549957647
360000	Africa	Europe	4.202931048808269
360000	Africa	Europe	17.246257449811523
360000	Africa	Europe	24.25770581374657
360000	Africa	Europe	18.65276843045356
360000	Africa	Americas	9.186911247353589
370000	Africa	Europe	25.019127824046794
370000	Africa	Europe	12.677823792891264
370000	Africa	Europe	20.661153402866262
370000	Africa	Europe	8.183293533285255
370000	Africa	Europe	5.665481399552053
370000	Africa	Americas	19.29420084502537
370000	Africa	Europe	17.99838627341124
370000	Africa	Europe	19.710416591689906
380000	Africa	Europe	15.862206200248274
380000	Africa	Europe	15.503130458027265
380000	Africa	Europe	39.19063389926559
380000	Africa	Europe	3.1422515812262937
380000	Africa	Europe	11.008557532141822
380000	Africa	Europe	26.7276291815397
380000	Africa	Europe	19.554640427240223
380000	Africa	Americas	16.573115091631834
390000	Africa	Europe	43.95282844579436
390000	Africa	Europe	11.936422238807436
390000	Africa	Europe	14.654328442548962
390000	Africa	Europe	12.39361272282685
390000	Africa	Europe	10.193823197271627
390000	Africa	Europe	20.14335806243382
390000	Africa	Europe	32.07628111511248
390000	Africa	Americas	25.837378820159085
