#node	date	numeric date
A1/JQ023660/Colombia/2007/Colombia	2007-01-01	2007.000000
A1/JQ023662/Colombia/2007/Colombia	2007-01-01	2007.000000
NODE_0000068	1270-02-22	1270.145511
A1/KJ854691/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000070	1513-01-27	1513.075023
A1/KJ854686/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000071	1779-04-30	1779.329886
A1/KJ854704/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854705/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000072	1340-05-25	1340.398987
A1/KJ854706/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854702/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000073	1421-01-19	1421.054571
A1/FJ692575/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/KJ854685/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000076	1875-02-20	1875.141492
A1/KJ854697/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ843183/Argentina/2011/Argentina	2011-01-01	2011.000000
NODE_0000078	1693-12-16	1693.960934
NODE_0000079	1805-03-25	1805.230440
A1/KJ854689/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854703/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000080	1808-05-16	1808.373061
A1/KJ854692/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854696/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000081	0448-05-03	448.337252
NODE_0000082	0466-05-03	466.338390
NODE_0000083	1197-05-01	1197.332437
A1/KJ854687/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000084	1357-09-04	1357.678359
A1/KJ854707/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000085	1415-02-03	1415.093183
NODE_0000086	1457-10-07	1457.768939
A1/KJ854693/Brazil/2007/Brazil	2007-01-01	2007.000000
A/KJ638661/Panama/2011/Panama	2011-01-01	2011.000000
