# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 26 14:41:23 CEST 2023 [seed=1695732074588]
# -beagle_double HBV-E_updated_geo_priors_completeHistory_posterior_run3.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	Current Tree	c_allTransitions[1]
21550000	-45.39232406989312	-3.2778135691151236	-42.114510500777996	0.8956572786720571	0.02984264088764149	0.0745000804403087	0.05248236536538093	0.002526396755910904	0.717987400511712	0.777561181857189	0.4459065161053094	0.1745004698424384	0.507630495484096	1.0942493924337413	1.0	1.0	1.0	1.0	1.0	1.0	6.0	147.0	9.0
21560000	-41.02703054208676	-0.019379137695191062	-41.007651404391574	0.4624678315715789	0.17723495924945182	0.36029720917897656	0.003021276539449495	7.84462957686455E-4	1.121884599155556	1.4412437086727226	1.3089607385862372	0.8514260548830184	0.6191513671264136	0.41612638965976606	1.0	1.0	1.0	0.0	1.0	0.0	4.0	379.0	8.0
21570000	-40.753394768898154	-1.4775110966195841	-39.27588367227857	0.586766877887565	0.05947050970980198	0.3537626124026402	0.00921751218428371	0.009483685497959018	0.011052885495943484	0.13128222836205253	0.8619508558680334	1.1674607830119414	1.6949124970967406	0.39397250228293507	1.0	1.0	1.0	0.0	1.0	1.0	5.0	64.0	23.0
21580000	-42.77153692733631	-1.2563156036905458	-41.51522132364576	0.2229079397956518	0.4683523045889387	0.30873975561541656	0.007895638581479679	0.0023562543603245305	0.1297372595097921	0.843290473002588	0.22396366355255581	0.4384421430077926	2.5680368878315845	0.10612367021667993	1.0	1.0	1.0	1.0	1.0	1.0	6.0	56.0	8.0
21590000	-39.71025579100801	-0.7585430962076463	-38.951712694800364	0.26287585196145813	0.565255122899621	0.17186902513892793	0.0058044320038869515	0.0014024970180676018	0.03479783084501965	1.7624605295130522	0.05733201841409295	0.3759979658060556	0.904464128082897	1.1961474707376265	1.0	1.0	1.0	1.0	1.0	1.0	6.0	7.0	8.0
21600000	-40.30444847491829	-0.6615565372581726	-39.64289193766012	0.36681937229262884	0.1393729631430918	0.49380766456428626	0.01130167115334251	0.002962329021947842	0.1231212807548991	0.5201610815494292	0.10234970380501121	1.0902803312746974	0.052870085473335535	2.0158471511711893	1.0	1.0	1.0	1.0	0.0	1.0	5.0	732.0	9.0
21610000	-41.32088398222106	-2.2699358249498025	-39.05094815727126	0.5999443892116418	0.20639340082655505	0.19366220996181027	0.020422770019749157	0.004406209459690155	0.05759150611399332	0.5244341575552002	0.5671193603494715	0.06926733573276032	1.9909428184336475	0.7647606386140853	1.0	1.0	1.0	1.0	1.0	1.0	6.0	209.0	10.0
21620000	-51.423023115677495	-9.383527464384603	-42.039495651292896	0.7553306171020839	0.024767715691789483	0.2199016672061338	0.13418310392820193	0.03528487850884847	0.17540457160989792	0.22341125587454064	3.5116811356608695	1.0649543006021964	3.0365695987903645	0.14776331650698257	1.0	1.0	1.0	1.0	1.0	1.0	6.0	14.0	26.0
21630000	-42.12867308838039	-2.647698081805646	-39.480975006574745	0.5306139681473253	0.3385288566937545	0.13085717515892759	0.05114341596480132	0.022926648685572638	0.0059764124661375005	0.19384134070347103	1.5764278714515678	0.13683322409433643	0.5345701260103563	1.7710170066139974	1.0	0.0	0.0	1.0	1.0	0.0	3.0	52.0	44.0
21640000	-48.454196782907005	-7.916586912688241	-40.537609870218766	0.6138156736094037	0.24653637681620236	0.13964794957440108	0.06649400520342587	0.0720840947815165	0.01574671826608675	0.16642511823904038	1.71220373526593	3.458887043285908	2.391720635046138	0.41770959914861433	1.0	1.0	1.0	0.0	1.0	0.0	4.0	770.0	36.0
21650000	-46.96422453168272	-5.662019910343584	-41.302204621339136	0.7041365287156264	0.10346128877368486	0.19240218251069585	0.16021430223569585	0.07099948378446896	0.03626676186550071	0.13800491411559485	2.4797052439558755	0.6226299022519473	1.9096829288543478	0.2844731090817345	1.0	0.0	1.0	0.0	1.0	0.0	3.0	484.0	42.0
21660000	-43.7989359911332	-4.305191332346452	-39.493744658786746	0.4969394299002984	0.3648005868645012	0.13825998323520738	0.02021654399017965	0.002964972831608679	0.7503206066789669	1.1653761201168036	0.04450899221812261	3.129904422855338	1.226614386185571	0.4702099834690302	1.0	1.0	1.0	1.0	1.0	0.0	5.0	784.0	9.0
21670000	-44.20833769986268	-4.1341639553153815	-40.0741737445473	0.20800383893539845	0.5208531775476558	0.27114298351695265	0.014841277288013455	0.006978396285738441	1.5900000830179053	0.6250287176822376	0.8161663181035257	2.9851568517909017	0.2469931837537549	1.006167548195209	0.0	1.0	1.0	1.0	0.0	1.0	4.0	681.0	9.0
21680000	-46.226868403918786	-4.277196876814385	-41.9496715271044	0.24993205855732692	0.4487092665823259	0.3013586748603543	0.2985434930068341	0.023961180734690207	1.2903569513412083	0.07687217600134783	0.18570244404857889	0.48618047330126324	0.03814094544851815	1.081128140701917	0.0	1.0	1.0	0.0	1.0	1.0	4.0	274.0	10.0
21690000	-44.42193761648538	-3.6870955383122945	-40.73484207817309	0.09827447326711441	0.4887714210884357	0.4129541056444569	0.003027425124639578	0.0021508902060687154	0.8976840560544482	2.4496020318313154	1.185063468848224	0.5373889973691325	1.677713277759661	1.7143568768906456	1.0	1.0	1.0	1.0	1.0	0.0	5.0	370.0	8.0
21700000	-45.75207346274895	-5.5749624719893625	-40.17711099075959	0.3146001265904669	0.35834184993599844	0.3270580234735416	0.19889087964419463	0.0060900054495435915	0.6709913029202857	0.6343393497313655	1.7473731911233443	0.1347911892849076	0.17318054879923997	1.804176831016757	0.0	1.0	1.0	0.0	1.0	1.0	4.0	369.0	9.0
