# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 20 10:51:43 CET 2019 [seed=888]
# -beagle_gpu -overwrite -seed 888 -save_every 100000 -save_state checkpoint.state HBV-A_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
250000	0.9157358893028731	0.33905392216080604	0.4986652612631822	0.09611987195273029	1.1373587894588661	1.362833310792623	0.42299490248145205	0.4831606214217754	3.108754587866262	0.09556925895206433	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
275000	1.068023286023005	1.104694079685268	0.5407865615822787	0.8075701390748253	1.269353450297826	1.60582835225611	0.029891223094908603	0.5612630314325266	1.1051377805751974	0.1844624556057315	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	7.0
300000	1.7671564282192034	1.8500131588034654	1.1880600613042807	1.3547815214436012	1.7770899323212936	3.4502877775041285	0.08967023825507407	1.8046729526903298	1.029673380666636	0.5310571909760841	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
325000	0.5220190419310853	0.3085116267072721	0.46805164394727805	0.012545761487098224	0.7576666916293944	1.178873933891373	1.6231731879028215	0.5322441682803626	0.036366567534035034	0.90293070945777	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
350000	1.244424747998396	0.24418759259596384	0.5223591988375045	4.248474719706333	1.2527853475978976	2.009820723450223	0.25383100422174654	0.753804611418877	0.1077233333893537	0.46375859970126454	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
375000	0.773561320562294	1.2841651834468513	0.5582880028639929	1.289180225419695	1.1144098523080292	0.803082475893178	0.047259836790695155	0.6089089644962514	0.10208508878491439	0.20581122293222884	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
400000	2.200080845198098	0.5090061740924318	1.8551882316686976	1.0825965349809217	2.9309957320190736	4.219297680819606	0.7194255487862229	2.772506979447112	0.29853946223609207	0.09578932706985886	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
425000	1.104959690532487	0.9897033434311997	0.5815354976820937	1.7711205227943247	1.021643749532162	1.686388117130182	2.3853133312793444	0.8554807158727602	0.9548149881455059	0.036120341004318594	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
450000	0.3761717182210919	1.353591026367915	0.6928222658093977	0.1789314332439999	1.3316085450793254	2.1327938692418136	0.0581334929643168	0.728679521546269	0.20455009012634542	0.12619527634606786	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
475000	1.4403032039905397	0.2547262461247628	0.7447551959156119	0.05780111033539331	1.351144484636294	2.1326021381506184	0.11303227895548383	0.8207882134043868	0.1425687590218079	0.13962207168967644	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
500000	1.400982858419266	0.853273112163594	0.6563666524342537	0.0930017688541416	1.3506492591117438	1.3636402632798232	0.006216562469180273	2.214078666326301	1.8699908772908154	0.37311498058166176	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
525000	0.5066718879244322	2.2095201806030755	0.27693896945261437	2.9416990033821544	1.5229327662272303	1.109887313354658	1.5057191362191091	0.7061371158095822	1.9235024141085675	0.16059645762677494	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
550000	1.6180409420500093	1.2996566581023496	1.6335753400048196	1.08643842324919	1.2312589791435713	3.1023273072848885	1.5396701919375315	1.9669417832164626	0.7758326767245629	0.16731888827938285	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
575000	0.8237431618848876	0.0018286787280246456	1.2050002587306123	3.0819483096820823	1.233131225487026	1.9097550482712042	0.5563364490018395	2.1741787362987637	0.31372264725171695	0.1328206581311818	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
