# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Dec 11 16:17:23 CET 2019 [seed=141414]
# -beagle_gpu -seed 141414 -save_every 250000 -save_state checkpoint.state HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
250000	-135113.94893891737	-20153.071794774387	-114960.87714414299	3205.4920456665295	-1193.4920456665295	139633.3709361394	30085.551547974603	2.9348733948705865	0.33454156656029294	0.24691053236658397	0.17472320377632258	0.24382469729679992	0.33160522876570037	2.8480670808194857E-4	5.839908015225513E-4	1.477464193230016E-4	1.582932221175415	0.03836632587915324	-114960.87714414299	-11269.5350994549	-8657.617045001585
275000	-135037.13341468663	-20167.52696061066	-114869.60645407597	3383.613093035906	-1371.6130930359059	143995.48065270617	29706.86208033845	2.8799060945852655	0.33176831352447084	0.2473234972772245	0.17887106004268577	0.24203712915561845	0.3396049932515443	2.7450989569573935E-4	5.5341482534371E-4	1.417767064768583E-4	1.5726700338869417	0.030856838371992292	-114869.60645407597	-11269.5350994549	-8672.191156458937
300000	-134997.31540832866	-20124.87801391987	-114872.43739440879	3363.245198403357	-1351.2451984033569	136721.48390827922	28008.268320506362	2.883713711262981	0.33151453288302307	0.24582189889334655	0.17440713549441633	0.24825643272921338	0.3470725792367547	2.90879126835031E-4	6.058177881145897E-4	1.493180437017334E-4	1.5748134073867797	0.03850662310062718	-114872.43739440879	-11269.5350994549	-8629.344239786056
325000	-134653.71980292565	-20141.792571002483	-114511.92723192317	3715.8196547638368	-1703.8196547638368	140114.1973395165	28851.816374564787	2.91042550850061	0.32837362317793983	0.25179698020853075	0.17554223217425366	0.24428716443927517	0.3457372578976966	3.007363175962598E-4	6.304869194799393E-4	1.5203437028894046E-4	1.5756460256331983	0.023603475558795432	-114511.92723192317	-11269.5350994549	-8646.1463411043
350000	-134519.67296873024	-20123.03911967543	-114396.63384905481	3468.7384260363638	-1456.7384260363638	137556.07729050238	26835.853174295076	2.7713847995096152	0.32867322657299586	0.24488994746627452	0.17833202511413493	0.24810480084659417	0.3423220937434841	2.97608005213056E-4	6.227206916569375E-4	1.4825341384193936E-4	1.5909570033721636	0.012742614694159804	-114396.63384905481	-11269.5350994549	-8627.483237680783
375000	-134488.93507561684	-20138.343919609597	-114350.59115600724	3795.385668979386	-1783.385668979386	141124.89232921047	29095.07553828305	2.8409447945110538	0.33062044055529305	0.24222367418816787	0.17473085139344596	0.25242503386309273	0.3457757910496609	2.980659298183175E-4	6.485837724895979E-4	1.458884942775485E-4	1.623906223002619	0.009252674482561651	-114350.59115600724	-11269.5350994549	-8642.750887047696
400000	-134439.1605851864	-20125.27703884279	-114313.88354634358	3971.657394160034	-1959.657394160034	140394.00792980095	28086.089965311647	2.8238160034015105	0.329893572365476	0.24738976608628996	0.17446723425741636	0.24824942729081725	0.34458891540508885	3.0639920943736156E-4	6.538527848668381E-4	1.4954011831010266E-4	1.6077354275518532	0.01810231794795931	-114313.88354634358	-11269.5350994549	-8629.604916924223
425000	-134376.62365491898	-20155.49134498834	-114221.13230993063	3911.7234582720575	-1899.7234582720575	145743.04254672627	28947.25610486286	2.949650726467626	0.3294473454585167	0.2499052649585761	0.17495904183172825	0.24568834775117837	0.33490965448239846	2.955715476596856E-4	6.594093027777013E-4	1.4108016242331113E-4	1.6462800877925212	0.011591748130683352	-114221.13230993063	-11269.5350994549	-8659.907562938668
450000	-134173.97790258244	-20157.358790196846	-114016.6191123856	3890.0337082242922	-1878.0337082242922	145935.1200316767	29365.816175533288	2.8085569660545486	0.32913554760430586	0.24641568378672868	0.17787362440829044	0.24657514420067453	0.3523460404204923	2.9901694406291143E-4	6.697080711369238E-4	1.42454097198109E-4	1.6371010755826283	0.018931951946290597	-114016.6191123856	-11269.5350994549	-8661.754201201655
475000	-134163.36559555327	-20158.454697134486	-114004.91089841879	4108.738581523272	-2096.738581523272	147442.1686559058	30500.149110637754	2.8625728777303148	0.3229002716819109	0.24704927518243736	0.1813009374685957	0.24874951566705555	0.3487689029350097	2.9942192670053377E-4	6.812559803049897E-4	1.420847225858846E-4	1.6445692691429061	0.015669121645166276	-114004.91089841879	-11269.5350994549	-8662.83336988162
